,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.5894741554167948,0.6204461919763372,0.5903737485599532,0.5793439286924911,False,False,False
1,traffic,14.097276012188155,31.27902402127611,14.277487603686565,17.545798637648826,True,False,False
2,energy,4128266.163033046,18573955.734464835,18711886.83039901,8358009.546969696,False,False,False
3,power,3861564.9539603847,12009043.032984473,12204059.361392822,6513139.692559003,False,False,False
4,parking,299695.11715532065,545556.0856684137,537154.4890813174,360820.27460583113,False,False,False
5,room,22.26704479850099,25.315584460592618,22.028860558762904,22.283883492220493,True,False,False
6,solar,559041.785378256,965280.5146939856,912943.893306274,596955.4357849979,False,False,False
7,kolkata,0.9056739019960428,1.0634140558375351,0.9293562302237472,0.9255342355363244,False,False,False
8,turbine,330211.1762874329,425008.1177665319,404367.9771788952,346095.57252356526,False,False,False
9,joho,8043454.621426973,19618762.373421125,19651707.548216205,9406715.107038757,False,False,False
10,electricity,0.1031899695968114,0.1074007480962725,0.1043070466174775,0.0996174634092779,False,False,False
11,iot,14.248145308025212,19.667907214856783,11.90804035584358,13.68581686124704,True,False,False
12,sum,17222286.02804556,52137683.91277606,52422169.93800007,25581790.74947647,3.0,0.0,0.0
