,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6134864695409313,0.5894741554167948,0.6086107310148987,0.5733558322816408,False,True,False
1,traffic,13.208888254658936,14.097276012188155,13.483914226657983,12.84552258433884,False,False,False
2,energy,4173632.921931037,4128266.163033046,4081450.290101545,3976523.462748173,False,True,False
3,power,634171.7063489873,3861564.9539603847,516371.53282793664,1736472.748954279,True,False,False
4,parking,280925.530570676,299695.11715532065,286853.76580136706,293315.0658603096,True,False,False
5,room,21.8402320301705,22.26704479850099,22.30722090533473,20.66527358129211,False,False,False
6,solar,471506.2584194441,559041.785378256,501187.7593388461,514953.1739749003,True,False,False
7,kolkata,0.9252834720618432,0.9056739019960428,0.9792342287932686,0.8944811614229706,False,True,False
8,turbine,324673.26622030773,330211.1762874329,340442.3624239928,319878.0206579638,False,False,False
9,joho,5991503.825032723,8043454.621426973,6911558.794337367,6766967.050173602,False,False,False
10,electricity,0.1032108150419093,0.1031899695968114,0.1021169212754957,0.1011541824321428,False,True,False
11,iot,13.902287630355003,14.248145308025212,14.808130456354634,13.718036854466396,False,False,False
12,sum,11876464.101911847,17222286.02804556,12637916.794058524,13608158.320193423,3.0,4.0,0.0
