,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6204461919763372,1.0877364680670734,0.754990485347435,0.6705722200564954,False,False,False
1,traffic,31.27902402127611,27.081258790436006,26.18576828410689,21.50021022424549,False,True,False
2,energy,18573955.734464835,8727961.72909744,9094122.82103115,9890987.5422079,True,True,True
3,power,12009043.032984473,839777.7689711561,1411021.0300279749,3617382.77227628,True,True,True
4,parking,545556.0856684137,678706.4273284461,573623.2026422692,452862.6466008657,False,False,False
5,room,25.315584460592618,35.91464313734932,31.04608796812762,27.22112850201105,False,False,False
6,solar,965280.5146939856,904622.5994932572,740356.3514817572,670448.9769680477,False,True,False
7,kolkata,1.0634140558375351,2.063855209135232,1.9437107069540671,1.17603857837469,False,False,False
8,turbine,425008.1177665319,660129.3267682216,494992.3253462424,472317.20038367977,False,False,False
9,joho,19618762.373421125,15597191.01455853,13576260.530927572,10085957.660433428,False,True,False
10,electricity,0.1074007480962725,0.2164078671601123,0.1220714863233791,0.1181625434326212,False,False,False
11,iot,19.667907214856783,16.025764420750733,19.740380530174864,15.42678361800784,False,True,False
12,sum,52137683.91277606,27408471.255882945,25890456.054466426,25190022.91176589,2.0,6.0,2.0
