,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6204461919763372,0.6134864695409313,0.6311594270532087,0.6022854107370192,False,True,False
1,traffic,31.27902402127611,13.208888254658936,13.864973774173704,16.328073168110233,True,True,True
2,energy,18573955.734464835,4173632.921931037,4210916.88992758,8285281.652226733,True,True,True
3,power,12009043.032984473,634171.7063489873,726308.5645759308,3915201.20756321,True,True,True
4,parking,545556.0856684137,280925.530570676,277862.4082612471,352372.33600572264,True,True,True
5,room,25.315584460592618,21.8402320301705,18.627720983836383,21.737888809635265,True,True,True
6,solar,965280.5146939856,471506.2584194441,500083.88971294486,578484.2780858009,True,True,True
7,kolkata,1.0634140558375351,0.9252834720618432,0.9267441966576868,0.919551019604278,False,True,False
8,turbine,425008.1177665319,324673.26622030773,317083.3489771509,350678.18172347965,True,True,True
9,joho,19618762.373421125,5991503.825032723,6765309.0248262985,8952355.141024096,True,True,True
10,electricity,0.1074007480962725,0.1032108150419093,0.1114143741761001,0.1014412647600444,False,True,False
11,iot,19.667907214856783,13.902287630355003,14.381125283888307,14.583611742282072,True,True,True
12,sum,52137683.91277606,11876464.101911847,12797612.669419194,22434427.069480456,9.0,12.0,9.0
