,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6204461919763372,0.6204461919763372,0.6081553472559036,0.6204461919763372,True,False,False
1,traffic,31.27902402127611,31.27902402127611,25.99939310565994,31.27902402127611,True,False,False
2,energy,18573955.734464835,18573955.734464835,18873814.096114542,18573955.734464835,False,False,False
3,power,12009043.032984473,12009043.032984473,12448554.293587962,12009043.032984473,False,False,False
4,parking,545556.0856684137,545556.0856684137,547468.631361563,545556.0856684137,False,False,False
5,room,25.315584460592618,25.315584460592618,26.31673193877724,25.315584460592618,False,False,False
6,solar,965280.5146939856,965280.5146939856,1031289.2379441416,965280.5146939856,False,False,False
7,kolkata,1.0634140558375351,1.0634140558375351,1.072905649780946,1.0634140558375351,False,False,False
8,turbine,425008.1177665319,425008.1177665319,427245.6614518007,425008.1177665319,False,False,False
9,joho,19618762.373421125,19618762.373421125,19706083.70941997,19618762.373421125,False,False,False
10,electricity,0.1074007480962725,0.1074007480962725,0.1077830865357571,0.1074007480962725,False,False,False
11,iot,19.667907214856783,19.667907214856783,18.304397264317707,19.667907214856783,True,False,False
12,sum,52137683.91277606,52137683.91277606,53034528.03924637,52137683.91277606,3.0,0.0,0.0
