,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6204461919763372,0.6757616430267345,0.5608383033023708,0.6153720018980441,True,False,False
1,traffic,31.27902402127611,14.546649781313937,15.100609063524631,17.160617110635133,True,True,True
2,energy,18573955.734464835,4154047.498747278,4251128.088741251,8078732.942697965,True,True,True
3,power,12009043.032984473,543070.5932269846,480374.6005154497,3655179.335367112,True,True,True
4,parking,545556.0856684137,327932.9021234411,335968.2067146072,356297.5467418157,True,True,True
5,room,25.315584460592618,17.193956662903727,18.784667937168305,19.229787435105447,True,True,True
6,solar,965280.5146939856,519551.0378065653,492196.4690833191,587337.0962400192,True,True,True
7,kolkata,1.0634140558375351,1.1072111896884436,1.1231974232729516,0.9657988739115396,False,False,False
8,turbine,425008.1177665319,337374.9373184976,354916.3375394636,341355.91907177767,False,True,False
9,joho,19618762.373421125,10317478.751221323,11401677.247595713,9074320.90370667,False,True,False
10,electricity,0.1074007480962725,0.1124681626848877,0.1159656743840273,0.1029326967642051,False,False,False
11,iot,19.667907214856783,12.382446225998958,10.716203851507249,12.692676366215906,True,True,True
12,sum,52137683.91277606,16199501.738937754,17316307.351672053,22093274.51100984,8.0,9.0,7.0
