,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6757616430267345,0.5894741554167948,0.6760934165331134,0.6086832056780237,False,True,False
1,traffic,14.546649781313937,14.097276012188155,14.52795387877196,13.027272265479173,False,True,False
2,energy,4154047.498747278,4128266.163033046,4166207.6576272105,3946224.411461588,False,True,False
3,power,543070.5932269846,3861564.9539603847,495904.7968307611,1540580.7658041087,True,False,False
4,parking,327932.9021234411,299695.11715532065,333386.8694130599,295322.3980126909,False,True,False
5,room,17.193956662903727,22.26704479850099,17.18677947888939,18.504910116655346,True,False,False
6,solar,519551.0378065653,559041.785378256,519250.3083124676,516296.3834140424,False,False,False
7,kolkata,1.1072111896884436,0.9056739019960428,1.1158705121364023,0.9483588696467992,False,True,False
8,turbine,337374.9373184976,330211.1762874329,338791.83809599496,320087.35792533983,False,True,False
9,joho,10317478.751221323,8043454.621426973,10451215.47378935,8592002.642990924,False,True,False
10,electricity,0.1124681626848877,0.1031899695968114,0.1124487758125232,0.1026124841539257,False,True,False
11,iot,12.382446225998958,14.248145308025212,12.616557604165257,13.200475523064892,True,False,False
12,sum,16199501.738937754,17222286.02804556,16304803.17977251,15210560.351921158,3.0,8.0,0.0
