,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6757616430267345,0.6204461919763372,0.6082344269412445,0.6153720018980441,True,True,True
1,traffic,14.546649781313937,31.27902402127611,14.764914974650347,17.160617110635133,True,False,False
2,energy,4154047.498747278,18573955.734464835,18679652.55372429,8078732.942697965,False,False,False
3,power,543070.5932269846,12009043.032984473,11876346.178243078,3655179.335367112,False,False,False
4,parking,327932.9021234411,545556.0856684137,535274.1299285748,356297.5467418157,False,False,False
5,room,17.193956662903727,25.315584460592618,16.909594323396348,19.229787435105447,True,False,False
6,solar,519551.0378065653,965280.5146939856,907207.9624282598,587337.0962400192,False,False,False
7,kolkata,1.1072111896884436,1.0634140558375351,1.1131665520148704,0.9657988739115396,False,True,False
8,turbine,337374.9373184976,425008.1177665319,401699.17889754166,341355.91907177767,False,False,False
9,joho,10317478.751221323,19618762.373421125,19636878.02322984,9074320.90370667,False,False,False
10,electricity,0.1124681626848877,0.1074007480962725,0.1055578584280641,0.1029326967642051,False,True,False
11,iot,12.382446225998958,19.667907214856783,10.892545265569286,12.692676366215906,True,False,False
12,sum,16199501.738937754,52137683.91277606,52037102.42046499,22093274.51100984,4.0,3.0,1.0
