model,2nd_model,type,mse,rmse
GradientBoostingRegressor,XGBoostRegressor,voting,300.20087993346255,17.32630600946037
GradientBoostingRegressor,RandomForestRegressor,voting,314.2112795836629,17.726005742514666
GradientBoostingRegressor,,plain,337.99721772620165,18.384700642822597
GradientBoostingRegressor,RandomForestRegressor,cascade,387.9372874999999,19.69612366685384
GradientBoostingRegressor,XGBoostRegressor,cascade,417.8402478009909,20.441141059172576
GradientBoostingRegressor,SVR,voting,2991.9444031560943,54.69866911686329
GradientBoostingRegressor,SVR,cascade,10268.505554005644,101.33363486032485
RandomForestRegressor,XGBoostRegressor,voting,295.7321337563138,17.19686406750701
RandomForestRegressor,GradientBoostingRegressor,voting,315.7841914244619,17.770317707471126
RandomForestRegressor,,plain,359.68641666666707,18.96540051426985
RandomForestRegressor,GradientBoostingRegressor,cascade,397.9060622744846,19.947582867968855
RandomForestRegressor,XGBoostRegressor,cascade,412.96188293141313,20.321463602098476
RandomForestRegressor,SVR,voting,2959.1986901570326,54.3985173525624
RandomForestRegressor,SVR,cascade,10215.616114736948,101.07233110370487
SVR,XGBoostRegressor,cascade,306.8072543979312,17.515914318068905
SVR,GradientBoostingRegressor,cascade,309.32606933398966,17.5876681039298
SVR,RandomForestRegressor,cascade,338.75663749999984,18.405342634680828
SVR,XGBoostRegressor,voting,2824.1767805493178,53.1429843022512
SVR,RandomForestRegressor,voting,2889.8318653985934,53.75715641101744
SVR,GradientBoostingRegressor,voting,2964.9297804297553,54.45116877009855
SVR,,plain,10676.984279172058,103.32949375261673
XGBoostRegressor,RandomForestRegressor,voting,294.01370414866807,17.146827815915923
XGBoostRegressor,GradientBoostingRegressor,voting,300.888215245198,17.346129690660046
XGBoostRegressor,RandomForestRegressor,cascade,318.1250333333333,17.836059916173564
XGBoostRegressor,GradientBoostingRegressor,cascade,331.3386561287114,18.2027101314258
XGBoostRegressor,,plain,336.9654858817812,18.356619674705396
XGBoostRegressor,SVR,voting,2824.1767805493178,53.1429843022512
XGBoostRegressor,SVR,cascade,10237.572418335332,101.1808895905513
