model,2nd_model,type,feature,importance,std,column
DecisionTreeRegressor,,plain,,2.560, +/- 0.105,ts
DecisionTreeRegressor,,plain,,0.283, +/- 0.010,pt08.s3(nox)
DecisionTreeRegressor,,plain,,0.257, +/- 0.012,next_hour
DecisionTreeRegressor,,plain,,0.239, +/- 0.023,hour
DecisionTreeRegressor,,plain,,0.209, +/- 0.016,pt08.s1(co)
DecisionTreeRegressor,,plain,,0.182, +/- 0.019,prev_hour
DecisionTreeRegressor,,plain,,0.118, +/- 0.010,c6h6(gt)
DecisionTreeRegressor,,plain,,0.095, +/- 0.013,rh
DecisionTreeRegressor,,plain,,0.089, +/- 0.015,pt08.s2(nmhc)
DecisionTreeRegressor,,plain,,0.076, +/- 0.028,t
DecisionTreeRegressor,,plain,,0.066, +/- 0.005,pt08.s4(no2)
DecisionTreeRegressor,,plain,,0.060, +/- 0.024,ah
DecisionTreeRegressor,,plain,,0.050, +/- 0.016,pt08.s5(o3)
DecisionTreeRegressor,,plain,,0.030, +/- 0.001,day
DecisionTreeRegressor,,plain,,0.023, +/- 0.013,prev_day
DecisionTreeRegressor,,plain,,0.021, +/- 0.001,day_of_week
DecisionTreeRegressor,,plain,,0.012, +/- 0.006,next_week
DecisionTreeRegressor,,plain,,0.012, +/- 0.003,prev_week
DecisionTreeRegressor,,plain,,0.011, +/- 0.013,next_day
DecisionTreeRegressor,,plain,,0.010, +/- 0.009,day_of_year
DecisionTreeRegressor,,plain,,0.005, +/- 0.005,month
DecisionTreeRegressor,,plain,,0.005, +/- 0.007,week_of_year
DecisionTreeRegressor,,plain,,-0.002, +/- 0.001,year
DecisionTreeRegressor,DecisionTreeRegressor,voting,,2.642, +/- 0.106,ts
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.230, +/- 0.012,pt08.s3(nox)
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.179, +/- 0.008,prev_hour
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.154, +/- 0.009,pt08.s2(nmhc)
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.150, +/- 0.012,next_hour
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.150, +/- 0.008,hour
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.144, +/- 0.018,pt08.s1(co)
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.084, +/- 0.010,rh
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.056, +/- 0.019,ah
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.053, +/- 0.016,t
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.051, +/- 0.013,pt08.s5(o3)
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.045, +/- 0.006,pt08.s4(no2)
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.037, +/- 0.005,c6h6(gt)
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.037, +/- 0.002,day
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.015, +/- 0.015,next_day
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.014, +/- 0.003,month
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.009, +/- 0.006,day_of_year
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.006, +/- 0.002,day_of_week
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.005, +/- 0.006,prev_day
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.002, +/- 0.001,prev_week
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.001, +/- 0.000,year
DecisionTreeRegressor,DecisionTreeRegressor,voting,,-0.003, +/- 0.004,next_week
DecisionTreeRegressor,DecisionTreeRegressor,voting,,-0.007, +/- 0.005,week_of_year
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,3.791, +/- 0.210,preds
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.001, +/- 0.001,prev_day
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.001, +/- 0.001,prev_hour
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.001, +/- 0.000,next_day
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,pt08.s5(o3)
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,day
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,pt08.s1(co)
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,day_of_week
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,ah
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,c6h6(gt)
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,pt08.s2(nmhc)
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,pt08.s4(no2)
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,t
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,next_hour
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,hour
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,year
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,day_of_year
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,next_week
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,prev_week
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,month
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,ts
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.000,rh
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,-0.016, +/- 0.000,pt08.s3(nox)
DecisionTreeRegressor,RandomForestRegressor,voting,,2.571, +/- 0.092,ts
DecisionTreeRegressor,RandomForestRegressor,voting,,0.159, +/- 0.018,hour
DecisionTreeRegressor,RandomForestRegressor,voting,,0.086, +/- 0.007,pt08.s1(co)
DecisionTreeRegressor,RandomForestRegressor,voting,,0.079, +/- 0.005,pt08.s2(nmhc)
DecisionTreeRegressor,RandomForestRegressor,voting,,0.073, +/- 0.003,prev_hour
DecisionTreeRegressor,RandomForestRegressor,voting,,0.071, +/- 0.004,pt08.s3(nox)
DecisionTreeRegressor,RandomForestRegressor,voting,,0.070, +/- 0.009,next_hour
DecisionTreeRegressor,RandomForestRegressor,voting,,0.039, +/- 0.007,pt08.s4(no2)
DecisionTreeRegressor,RandomForestRegressor,voting,,0.025, +/- 0.009,t
DecisionTreeRegressor,RandomForestRegressor,voting,,0.024, +/- 0.005,rh
DecisionTreeRegressor,RandomForestRegressor,voting,,0.020, +/- 0.005,pt08.s5(o3)
DecisionTreeRegressor,RandomForestRegressor,voting,,0.017, +/- 0.008,ah
DecisionTreeRegressor,RandomForestRegressor,voting,,0.013, +/- 0.001,c6h6(gt)
DecisionTreeRegressor,RandomForestRegressor,voting,,0.012, +/- 0.005,day
DecisionTreeRegressor,RandomForestRegressor,voting,,0.009, +/- 0.002,next_day
DecisionTreeRegressor,RandomForestRegressor,voting,,0.006, +/- 0.002,month
DecisionTreeRegressor,RandomForestRegressor,voting,,0.004, +/- 0.002,day_of_week
DecisionTreeRegressor,RandomForestRegressor,voting,,0.003, +/- 0.004,day_of_year
DecisionTreeRegressor,RandomForestRegressor,voting,,0.000, +/- 0.001,prev_week
DecisionTreeRegressor,RandomForestRegressor,voting,,0.000, +/- 0.001,year
DecisionTreeRegressor,RandomForestRegressor,voting,,-0.000, +/- 0.001,week_of_year
DecisionTreeRegressor,RandomForestRegressor,voting,,-0.003, +/- 0.003,prev_day
DecisionTreeRegressor,RandomForestRegressor,voting,,-0.004, +/- 0.004,next_week
DecisionTreeRegressor,RandomForestRegressor,cascade,,3.797, +/- 0.208,preds
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,day_of_year
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,ah
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,prev_day
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,prev_week
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,day
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,next_day
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,day_of_week
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,hour
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,month
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,next_week
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,year
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,rh
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,ts
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,c6h6(gt)
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,pt08.s4(no2)
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,prev_hour
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.001, +/- 0.000,next_hour
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.001, +/- 0.000,pt08.s1(co)
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.001, +/- 0.000,pt08.s2(nmhc)
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.002, +/- 0.000,pt08.s5(o3)
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.002, +/- 0.000,pt08.s3(nox)
