model,2nd_model,type,mse,rmse
DecisionTreeRegressor,SVR,voting,0.6799757390305037,0.824606414618819
DecisionTreeRegressor,XGBoostRegressor,voting,0.6969395757932036,0.8348290698060314
DecisionTreeRegressor,RandomForestRegressor,voting,0.7018932376755058,0.8377906884631183
DecisionTreeRegressor,GradientBoostingRegressor,voting,0.7152597642207102,0.8457303141195249
DecisionTreeRegressor,SVR,cascade,0.7478395786020614,0.8647771843671995
DecisionTreeRegressor,DecisionTreeRegressor,voting,1.0497111304012343,1.0245541129687754
DecisionTreeRegressor,RandomForestRegressor,cascade,1.0783887256051807,1.0384549704273078
DecisionTreeRegressor,XGBoostRegressor,cascade,1.080247474150104,1.0393495437773108
DecisionTreeRegressor,,plain,1.0877364680670734,1.0429460523282463
DecisionTreeRegressor,GradientBoostingRegressor,cascade,1.0913701628628703,1.0446866338107663
DecisionTreeRegressor,DecisionTreeRegressor,cascade,1.1530557966820985,1.0738043567997377
GradientBoostingRegressor,SVR,voting,0.5793439286924911,0.7611464567955967
GradientBoostingRegressor,RandomForestRegressor,voting,0.57948960155509,0.7612421438380104
GradientBoostingRegressor,GradientBoostingRegressor,voting,0.5829005965810373,0.7634792705640654
GradientBoostingRegressor,RandomForestRegressor,cascade,0.5888728732268654,0.7673805270052566
GradientBoostingRegressor,,plain,0.5894741554167948,0.76777220281591
GradientBoostingRegressor,SVR,cascade,0.5903737485599532,0.7683578258597703
GradientBoostingRegressor,GradientBoostingRegressor,cascade,0.6158476713841721,0.7847596264998423
GradientBoostingRegressor,XGBoostRegressor,voting,0.6176976772007169,0.7859374512012498
GradientBoostingRegressor,XGBoostRegressor,cascade,0.6218079382043835,0.7885479935960674
GradientBoostingRegressor,DecisionTreeRegressor,cascade,0.6428375771604938,0.8017715242888673
GradientBoostingRegressor,DecisionTreeRegressor,voting,0.6667400240902466,0.8165415017561855
RandomForestRegressor,GradientBoostingRegressor,voting,0.5733558322816408,0.7572026362088558
RandomForestRegressor,SVR,cascade,0.5983423056997602,0.7735258920681066
RandomForestRegressor,SVR,voting,0.6015240829389262,0.7755798365989965
RandomForestRegressor,RandomForestRegressor,voting,0.6056867540620497,0.7782587963280915
RandomForestRegressor,GradientBoostingRegressor,cascade,0.6086107310148987,0.7801350722887023
RandomForestRegressor,RandomForestRegressor,cascade,0.6097325326580147,0.7808537203971143
RandomForestRegressor,XGBoostRegressor,voting,0.6134074101028197,0.7832033006204837
RandomForestRegressor,,plain,0.6134864695409313,0.7832537708437357
RandomForestRegressor,XGBoostRegressor,cascade,0.6385099711127771,0.7990681892759698
RandomForestRegressor,DecisionTreeRegressor,cascade,0.6590362130336967,0.8118104538829841
RandomForestRegressor,DecisionTreeRegressor,voting,0.7208445910753536,0.8490256716232752
SVR,XGBoostRegressor,cascade,0.5608383033023708,0.7488913828469191
SVR,GradientBoostingRegressor,voting,0.5897558161710671,0.7679556082034085
SVR,RandomForestRegressor,voting,0.6022854107370192,0.7760704934070224
SVR,SVR,cascade,0.6081553472559036,0.7798431555485396
SVR,XGBoostRegressor,voting,0.6153720018980441,0.784456500959769
SVR,,plain,0.6204461919763372,0.7876840686317943
SVR,SVR,voting,0.6204461919763372,0.7876840686317943
SVR,RandomForestRegressor,cascade,0.6311594270532087,0.79445542798398
SVR,GradientBoostingRegressor,cascade,0.6497289556502579,0.806057662732796
SVR,DecisionTreeRegressor,voting,0.6705722200564954,0.8188847416190482
SVR,DecisionTreeRegressor,cascade,0.754990485347435,0.8689018847645774
XGBoostRegressor,SVR,cascade,0.6082344269412445,0.7798938562017556
XGBoostRegressor,GradientBoostingRegressor,voting,0.6086832056780237,0.7801815209795883
XGBoostRegressor,SVR,voting,0.6153720018980441,0.784456500959769
XGBoostRegressor,RandomForestRegressor,voting,0.6208950409055867,0.7879689339723912
XGBoostRegressor,XGBoostRegressor,cascade,0.6750725059004311,0.8216279607586582
XGBoostRegressor,,plain,0.6757616430267345,0.8220472267617807
XGBoostRegressor,XGBoostRegressor,voting,0.6757616430267345,0.8220472267617807
XGBoostRegressor,GradientBoostingRegressor,cascade,0.6760934165331134,0.8222489991073954
XGBoostRegressor,RandomForestRegressor,cascade,0.6773305351046339,0.8230009326268312
XGBoostRegressor,DecisionTreeRegressor,cascade,0.683572048611111,0.826784160837102
XGBoostRegressor,DecisionTreeRegressor,voting,0.7365865194577729,0.8582461881405433
