model,2nd_model,type,mse,rmse
GradientBoostingRegressor,RandomForestRegressor,voting,138456.99808563478,372.098102770808
GradientBoostingRegressor,,plain,152181.25467093356,390.10415874601176
GradientBoostingRegressor,XGBoostRegressor,cascade,164934.82287351743,406.12168481074417
GradientBoostingRegressor,XGBoostRegressor,voting,172604.0074754164,415.45638456451286
GradientBoostingRegressor,RandomForestRegressor,cascade,180605.60224857138,424.9771785032361
GradientBoostingRegressor,SVR,voting,2786743.4408236803,1669.354198731857
GradientBoostingRegressor,SVR,cascade,10916465.258170279,3304.0074543151804
RandomForestRegressor,GradientBoostingRegressor,cascade,124971.95913402524,353.51373259609767
RandomForestRegressor,XGBoostRegressor,cascade,128784.07288081646,358.8649786212308
RandomForestRegressor,GradientBoostingRegressor,voting,138247.49066049507,371.8164744339539
RandomForestRegressor,,plain,155005.82085714288,393.7077861271515
RandomForestRegressor,XGBoostRegressor,voting,164180.87492496966,405.19239248160824
RandomForestRegressor,SVR,voting,2951295.88035545,1717.9336076680756
RandomForestRegressor,SVR,cascade,10916229.171113187,3303.971726742405
SVR,RandomForestRegressor,cascade,148688.03225571426,385.600871699889
SVR,GradientBoostingRegressor,cascade,159053.52898728687,398.81515641621104
SVR,XGBoostRegressor,cascade,223255.14098707266,472.49882643988934
SVR,XGBoostRegressor,voting,2744562.399989479,1656.6720858363851
SVR,GradientBoostingRegressor,voting,2785845.0397621496,1669.085090629639
SVR,RandomForestRegressor,voting,2911767.0795716946,1706.3900725132266
SVR,,plain,10906638.640167616,3302.520043870683
XGBoostRegressor,RandomForestRegressor,voting,161213.0160798135,401.5134070984598
XGBoostRegressor,GradientBoostingRegressor,voting,169847.16660108336,412.1251831677887
XGBoostRegressor,RandomForestRegressor,cascade,212496.73038428574,460.97367645483376
XGBoostRegressor,GradientBoostingRegressor,cascade,215614.46647461204,464.34304826777804
XGBoostRegressor,,plain,217737.03997524126,466.6230169797041
XGBoostRegressor,SVR,voting,2744562.399989479,1656.6720858363851
XGBoostRegressor,SVR,cascade,10912313.17213752,3303.379053656652
