model,2nd_model,type,mse,rmse
GradientBoostingRegressor,SVR,cascade,49.16707760400444,7.011923958800782
GradientBoostingRegressor,SVR,voting,49.81119025320155,7.057704318912882
GradientBoostingRegressor,RandomForestRegressor,voting,50.016939194423784,7.072265492359841
GradientBoostingRegressor,,plain,50.26999192486696,7.090133420808593
GradientBoostingRegressor,XGBoostRegressor,voting,50.72128229581221,7.121887551472026
GradientBoostingRegressor,XGBoostRegressor,cascade,52.23007067345236,7.227037475581011
GradientBoostingRegressor,RandomForestRegressor,cascade,52.96812000000001,7.27792003253677
RandomForestRegressor,GradientBoostingRegressor,voting,48.91193828192793,6.993707048620776
RandomForestRegressor,SVR,voting,49.07587292388932,7.0054173982632415
RandomForestRegressor,XGBoostRegressor,voting,49.93984223654081,7.066812735352538
RandomForestRegressor,SVR,cascade,51.07783991173963,7.146876234533492
RandomForestRegressor,,plain,52.98889272727273,7.279346998685577
RandomForestRegressor,GradientBoostingRegressor,cascade,53.88875873981997,7.340896317195876
RandomForestRegressor,XGBoostRegressor,cascade,54.01902150503831,7.349763363880385
SVR,GradientBoostingRegressor,voting,48.90362835942889,6.993112923400343
SVR,XGBoostRegressor,voting,49.86726306325917,7.061675655484269
SVR,,plain,49.935757347880084,7.066523710275094
SVR,RandomForestRegressor,voting,50.59390642107416,7.11293936576674
SVR,GradientBoostingRegressor,cascade,58.74806090374675,7.664728364641943
SVR,XGBoostRegressor,cascade,60.27792579187107,7.763885998124333
SVR,RandomForestRegressor,cascade,67.61801454545456,8.223017362589875
XGBoostRegressor,GradientBoostingRegressor,voting,49.4848815293369,7.03454913475888
XGBoostRegressor,SVR,voting,49.86726306325917,7.061675655484269
XGBoostRegressor,RandomForestRegressor,voting,49.9972469093785,7.0708731362808726
XGBoostRegressor,SVR,cascade,53.512752279876366,7.315241095129836
XGBoostRegressor,,plain,54.186367310365576,7.361138995452102
XGBoostRegressor,RandomForestRegressor,cascade,54.329941818181815,7.37088473781688
XGBoostRegressor,GradientBoostingRegressor,cascade,54.34501135148902,7.371906900625443
