model,2nd_model,type,mse,rmse
GradientBoostingRegressor,Lasso,cascade,37442180085.23093,193499.81934159764
GradientBoostingRegressor,Lasso,voting,766564533799.8196,875536.7118515475
GradientBoostingRegressor,SGDRegressor,voting,885137374141.576,940817.3968106542
GradientBoostingRegressor,,plain,3152804008687.2993,1775613.6991720072
GradientBoostingRegressor,MLPRegressor,cascade,3157526637413.296,1776943.0596992397
GradientBoostingRegressor,XGBoostRegressor,voting,3246729623755.582,1801868.3702633725
GradientBoostingRegressor,XGBoostRegressor,cascade,8044999611878.909,2836370.8523179595
GradientBoostingRegressor,SVR,voting,1.260760338067929e+16,112283584.64477026
GradientBoostingRegressor,MLPRegressor,voting,2.7382070873116464e+16,165475287.80188438
GradientBoostingRegressor,SVR,cascade,5.043645556035069e+16,224580621.51563898
GradientBoostingRegressor,SGDRegressor,cascade,1.6377385153905453e+52,1.2797415814884446e+26
Lasso,SGDRegressor,voting,35873212800.4415,189402.25130774316
Lasso,MLPRegressor,cascade,37378110603.80853,193334.1940883933
Lasso,,plain,37442082129.71788,193499.566226175
Lasso,GradientBoostingRegressor,voting,902023039396.0394,949748.9349275625
Lasso,XGBoostRegressor,voting,2111486245061.207,1453095.4012249873
Lasso,GradientBoostingRegressor,cascade,2914899056216.7295,1707307.545879397
Lasso,XGBoostRegressor,cascade,8025126138034.331,2832865.3582608425
Lasso,SVR,voting,1.2608644440368378e+16,112288220.39897318
Lasso,MLPRegressor,voting,2.7368433973372936e+16,165434077.42473415
Lasso,SVR,cascade,5.0436455707538296e+16,224580621.84333333
Lasso,SGDRegressor,cascade,1.5441947620485344e+50,1.2426563330416558e+25
MLPRegressor,Lasso,cascade,37291438218.277504,193109.91227349648
MLPRegressor,GradientBoostingRegressor,cascade,2933116777756.97,1712634.4553806484
MLPRegressor,XGBoostRegressor,cascade,9020610739186.396,3003433.1587678785
MLPRegressor,GradientBoostingRegressor,voting,2.7360877721784188e+16,165411238.19675672
MLPRegressor,Lasso,voting,2.7368551749682388e+16,165434433.3858051
MLPRegressor,SGDRegressor,voting,2.7370765617398004e+16,165441124.32342207
MLPRegressor,XGBoostRegressor,voting,2.7376993128335228e+16,165459944.1808658
MLPRegressor,SVR,cascade,5.043646728179942e+16,224580647.61194235
MLPRegressor,SVR,voting,6.988334362038959e+16,264354579.34446603
MLPRegressor,,plain,1.0947949756496566e+17,330876861.634303
MLPRegressor,SGDRegressor,cascade,6.625298326869164e+32,2.573965486728438e+16
SGDRegressor,Lasso,cascade,37441858312.373665,193498.9878846235
SGDRegressor,Lasso,voting,126907086211.5607,356240.20858342294
SGDRegressor,MLPRegressor,cascade,317481927444.2668,563455.3464510447
SGDRegressor,,plain,327659048040.70056,572415.1011640945
SGDRegressor,GradientBoostingRegressor,voting,673398482313.4498,820608.6048253758
SGDRegressor,XGBoostRegressor,voting,2072658825444.8906,1439673.16618908
SGDRegressor,GradientBoostingRegressor,cascade,3778184559098.2466,1943755.2724296972
SGDRegressor,XGBoostRegressor,cascade,8021604100499.356,2832243.651330047
SGDRegressor,SVR,voting,1.2604533852112032e+16,112269915.16925642
SGDRegressor,MLPRegressor,voting,2.737093520645375e+16,165441636.85860264
SGDRegressor,SVR,cascade,5.043645577686997e+16,224580621.99769145
SVR,Lasso,cascade,37405492355.18925,193404.99568312409
SVR,GradientBoostingRegressor,cascade,2780500188859.328,1667483.1899780363
SVR,XGBoostRegressor,cascade,8582701073962.244,2929624.7326171733
SVR,SGDRegressor,voting,1.2606293690257266e+16,112277752.42788424
SVR,Lasso,voting,1.2608644440368378e+16,112288220.39897318
SVR,XGBoostRegressor,voting,1.2614903634565068e+16,112316088.04870774
SVR,GradientBoostingRegressor,voting,1.261736306053087e+16,112327036.19579247
SVR,MLPRegressor,cascade,4.8683249128156936e+16,220642808.92011172
SVR,,plain,5.043651120198151e+16,224580745.39457187
SVR,MLPRegressor,voting,6.988345873990865e+16,264354797.08132526
SVR,SGDRegressor,cascade,1.745217230977292e+50,1.3210667019410079e+25
XGBoostRegressor,Lasso,cascade,37442282345.79481,193500.08358084707
XGBoostRegressor,SGDRegressor,voting,2073061940775.5935,1439813.1617593977
XGBoostRegressor,Lasso,voting,2111486245061.207,1453095.4012249873
XGBoostRegressor,GradientBoostingRegressor,cascade,3340682312473.016,1827753.351104305
XGBoostRegressor,GradientBoostingRegressor,voting,3468357617954.717,1862352.7104055013
XGBoostRegressor,,plain,8021604100499.356,2832243.651330047
XGBoostRegressor,MLPRegressor,cascade,8021611855605.144,2832245.0204043337
XGBoostRegressor,SVR,voting,1.2614903634565068e+16,112316088.04870774
XGBoostRegressor,MLPRegressor,voting,2.7377123331222772e+16,165460337.63782418
XGBoostRegressor,SVR,cascade,5.043645570915331e+16,224580621.84692898
XGBoostRegressor,SGDRegressor,cascade,4.4692170045569185e+51,6.685220269038948e+25
