model,2nd_model,type,mse,rmse
GradientBoostingRegressor,RandomForestRegressor,cascade,349.89129055276175,18.705381326045234
GradientBoostingRegressor,,plain,349.93963090100266,18.706673432254135
GradientBoostingRegressor,RandomForestRegressor,voting,351.8060533950599,18.756493632741165
GradientBoostingRegressor,XGBoostRegressor,cascade,356.4851657825225,18.88081475420281
GradientBoostingRegressor,SVR,cascade,357.99857770690306,18.920850343124197
GradientBoostingRegressor,XGBoostRegressor,voting,359.1703515090126,18.951790192723553
GradientBoostingRegressor,SVR,voting,378.1042551369949,19.444903063193575
RandomForestRegressor,GradientBoostingRegressor,voting,347.26653112566436,18.635088707212113
RandomForestRegressor,,plain,356.3100383021627,18.876176474650862
RandomForestRegressor,GradientBoostingRegressor,cascade,363.5582091573714,19.06720244706526
RandomForestRegressor,SVR,cascade,365.5881891694609,19.120360592035414
RandomForestRegressor,XGBoostRegressor,voting,369.3098925471131,19.217437200290604
RandomForestRegressor,XGBoostRegressor,cascade,373.11349612030193,19.316145995521516
RandomForestRegressor,SVR,voting,373.82685262939503,19.334602468874166
SVR,GradientBoostingRegressor,cascade,349.14081840082,18.685310230253606
SVR,RandomForestRegressor,cascade,352.22433853828494,18.767640729145604
SVR,XGBoostRegressor,cascade,375.35473059042175,19.374073670511883
SVR,RandomForestRegressor,voting,376.79468905288826,19.41120009306195
SVR,GradientBoostingRegressor,voting,377.9493474441777,19.440919408407044
SVR,XGBoostRegressor,voting,385.925870206166,19.644996060222716
SVR,,plain,446.23830794630027,21.124353432621323
XGBoostRegressor,GradientBoostingRegressor,voting,359.02823613064743,18.948040429834624
XGBoostRegressor,RandomForestRegressor,voting,366.8883386457318,19.154329501335507
XGBoostRegressor,SVR,voting,385.925870206166,19.644996060222716
XGBoostRegressor,,plain,400.7480587079443,20.01869273224264
XGBoostRegressor,SVR,cascade,403.3701614493712,20.08407731137707
XGBoostRegressor,GradientBoostingRegressor,cascade,416.57417371407695,20.410148792061193
XGBoostRegressor,RandomForestRegressor,cascade,422.08065196226005,20.544601528437102
