model,2nd_model,type,mse,rmse
GradientBoostingRegressor,SVR,voting,2.36263228076891,1.537085645228954
GradientBoostingRegressor,RandomForestRegressor,voting,2.4141831854117433,1.5537641987804145
GradientBoostingRegressor,SVR,cascade,2.486327525806692,1.576809286441037
GradientBoostingRegressor,XGBoostRegressor,voting,2.5115710432823732,1.5847936910785496
GradientBoostingRegressor,,plain,2.5641653455956597,1.6013011414458118
GradientBoostingRegressor,RandomForestRegressor,cascade,2.8733450277079675,1.695094400824912
GradientBoostingRegressor,XGBoostRegressor,cascade,2.93410713267273,1.7129235629976984
RandomForestRegressor,SVR,voting,2.215705324053779,1.488524546003115
RandomForestRegressor,,plain,2.350870068983256,1.5332547306247766
RandomForestRegressor,SVR,cascade,2.356000397622057,1.5349268378727556
RandomForestRegressor,GradientBoostingRegressor,cascade,2.3962502371689443,1.5479826346470893
RandomForestRegressor,GradientBoostingRegressor,voting,2.4150944231696485,1.5540574066519064
RandomForestRegressor,XGBoostRegressor,voting,2.4545734768498075,1.566707846680359
RandomForestRegressor,XGBoostRegressor,cascade,2.5146453468418515,1.585763332544252
SVR,RandomForestRegressor,voting,2.240797312093689,1.4969292942867036
SVR,XGBoostRegressor,voting,2.297594485161077,1.5157818065807087
SVR,RandomForestRegressor,cascade,2.333201382499871,1.5274820399925726
SVR,GradientBoostingRegressor,voting,2.375301472905873,1.5412013083649627
SVR,GradientBoostingRegressor,cascade,2.490656736489079,1.5781814650061885
SVR,,plain,2.721343791316264,1.6496495965253544
SVR,XGBoostRegressor,cascade,2.93315346488165,1.712645166075463
XGBoostRegressor,SVR,voting,2.297594485161077,1.5157818065807087
XGBoostRegressor,RandomForestRegressor,voting,2.4402993272482645,1.5621457445604314
XGBoostRegressor,GradientBoostingRegressor,voting,2.5017619141528757,1.5816958981273472
XGBoostRegressor,SVR,cascade,2.6542255139793314,1.6291793989549865
XGBoostRegressor,,plain,2.7295382935018866,1.6521314395355735
XGBoostRegressor,RandomForestRegressor,cascade,2.7420591402077976,1.6559164049576287
XGBoostRegressor,GradientBoostingRegressor,cascade,2.74421453108511,1.6565670922377729
