model,2nd_model,type,mse,rmse
GradientBoostingRegressor,XGBoostRegressor,voting,0.2790345440863581,0.5282372043754189
GradientBoostingRegressor,RandomForestRegressor,voting,0.2863408054041252,0.5351082184045814
GradientBoostingRegressor,SVR,voting,0.28916031448690854,0.5377362871212139
GradientBoostingRegressor,RandomForestRegressor,cascade,0.28925015298768103,0.5378198146105079
GradientBoostingRegressor,,plain,0.2907295044341513,0.5391933831513062
GradientBoostingRegressor,SVR,cascade,0.2928352418294502,0.5411425337463783
GradientBoostingRegressor,XGBoostRegressor,cascade,0.29452156117447376,0.5426984071972883
RandomForestRegressor,XGBoostRegressor,voting,0.27885459753610087,0.528066849495498
RandomForestRegressor,GradientBoostingRegressor,voting,0.2857803791377268,0.5345843049863387
RandomForestRegressor,SVR,voting,0.2871285102489549,0.535843736782427
RandomForestRegressor,,plain,0.2931470326901806,0.5414305428124466
RandomForestRegressor,SVR,cascade,0.29464537985215156,0.5428124720860341
RandomForestRegressor,GradientBoostingRegressor,cascade,0.29479746556364245,0.5429525444858349
RandomForestRegressor,XGBoostRegressor,cascade,0.29894013639252803,0.546754182784666
SVR,XGBoostRegressor,voting,0.27990423660169894,0.5290597665686732
SVR,RandomForestRegressor,voting,0.2875207198794661,0.5362095857773023
SVR,GradientBoostingRegressor,voting,0.2892010067141652,0.537774122391702
SVR,,plain,0.31080018412733834,0.5574945597289164
SVR,GradientBoostingRegressor,cascade,0.3134637433574392,0.5598783290657348
SVR,XGBoostRegressor,cascade,0.324539953929673,0.5696840825665336
SVR,RandomForestRegressor,cascade,0.3300152645919143,0.5744695506220624
XGBoostRegressor,RandomForestRegressor,voting,0.2781571934089323,0.52740609913892
XGBoostRegressor,GradientBoostingRegressor,voting,0.27901863756285905,0.5282221479291256
XGBoostRegressor,SVR,voting,0.27990423660169894,0.5290597665686732
XGBoostRegressor,,plain,0.290427920309303,0.5389136482863492
XGBoostRegressor,SVR,cascade,0.30498397304334385,0.5522535405439641
XGBoostRegressor,GradientBoostingRegressor,cascade,0.30562678493487355,0.5528352240359451
XGBoostRegressor,RandomForestRegressor,cascade,0.312752904699867,0.5592431534671364
