model,2nd_model,type,mse,rmse
DecisionTreeRegressor,SVR,cascade,12.00177483992412,3.4643577817431215
DecisionTreeRegressor,SVR,voting,13.472376258385157,3.6704735741297956
DecisionTreeRegressor,DecisionTreeRegressor,voting,13.654195328416467,3.6951583631038694
DecisionTreeRegressor,XGBoostRegressor,voting,13.91200546753831,3.729880087554868
DecisionTreeRegressor,RandomForestRegressor,voting,14.046302036164876,3.747839649206577
DecisionTreeRegressor,XGBoostRegressor,cascade,15.02020326543715,3.875590698904768
DecisionTreeRegressor,RandomForestRegressor,cascade,15.505176319750209,3.9376612753956133
DecisionTreeRegressor,GradientBoostingRegressor,cascade,15.684018739276926,3.960305384598128
DecisionTreeRegressor,,plain,16.025764420750733,4.003219257141773
DecisionTreeRegressor,GradientBoostingRegressor,voting,16.84774727266782,4.104600744611809
DecisionTreeRegressor,DecisionTreeRegressor,cascade,18.27924931053129,4.27542387495454
GradientBoostingRegressor,SVR,cascade,11.90804035584358,3.4508028567050277
GradientBoostingRegressor,XGBoostRegressor,voting,13.194742202638224,3.632456772301389
GradientBoostingRegressor,SVR,voting,13.685816861247039,3.699434667790072
GradientBoostingRegressor,RandomForestRegressor,voting,13.700321498703493,3.7013945343212864
GradientBoostingRegressor,GradientBoostingRegressor,voting,14.168716260997487,3.7641355263855054
GradientBoostingRegressor,RandomForestRegressor,cascade,14.236713017279657,3.773156903347601
GradientBoostingRegressor,,plain,14.248145308025212,3.7746715496881595
GradientBoostingRegressor,XGBoostRegressor,cascade,14.629978077582695,3.8249154340433065
GradientBoostingRegressor,DecisionTreeRegressor,voting,14.656868370398305,3.8284289689634186
GradientBoostingRegressor,DecisionTreeRegressor,cascade,14.70236435129358,3.8343662255050157
GradientBoostingRegressor,GradientBoostingRegressor,cascade,14.895735930511444,3.8594994404082303
RandomForestRegressor,SVR,cascade,12.780154922267231,3.574934254258004
RandomForestRegressor,XGBoostRegressor,voting,12.782593871999826,3.5752753561089285
RandomForestRegressor,GradientBoostingRegressor,voting,13.718036854466396,3.7037868262720517
RandomForestRegressor,RandomForestRegressor,voting,13.737832310933337,3.7064581895568898
RandomForestRegressor,,plain,13.902287630355005,3.7285771589649324
RandomForestRegressor,SVR,voting,14.39440320059652,3.7939956774614965
RandomForestRegressor,GradientBoostingRegressor,cascade,14.808130456354634,3.848133372994579
RandomForestRegressor,XGBoostRegressor,cascade,14.940743587803512,3.8653258061647935
RandomForestRegressor,DecisionTreeRegressor,cascade,15.167858583494105,3.8945935068366384
RandomForestRegressor,RandomForestRegressor,cascade,15.189386350299442,3.8973563283717647
RandomForestRegressor,DecisionTreeRegressor,voting,16.108069216412982,4.013485918302565
SVR,XGBoostRegressor,cascade,10.716203851507247,3.2735613407277473
SVR,XGBoostRegressor,voting,12.692676366215906,3.5626782574652887
SVR,GradientBoostingRegressor,voting,13.71570665309913,3.7034722427877234
SVR,GradientBoostingRegressor,cascade,13.878954664555048,3.725446908030639
SVR,RandomForestRegressor,cascade,14.381125283888307,3.7922454145121343
SVR,RandomForestRegressor,voting,14.583611742282072,3.8188495312439414
SVR,DecisionTreeRegressor,voting,15.42678361800784,3.9276944405093226
SVR,SVR,cascade,18.304397264317707,4.27836385366155
SVR,,plain,19.667907214856786,4.434851430979034
SVR,SVR,voting,19.667907214856786,4.434851430979034
SVR,DecisionTreeRegressor,cascade,19.740380530174864,4.4430148019306515
XGBoostRegressor,SVR,cascade,10.892545265569286,3.3003856237672116
XGBoostRegressor,XGBoostRegressor,cascade,12.274064488210884,3.5034360973494127
XGBoostRegressor,,plain,12.382446225998958,3.5188700211856303
XGBoostRegressor,XGBoostRegressor,voting,12.382446225998958,3.5188700211856303
XGBoostRegressor,GradientBoostingRegressor,cascade,12.616557604165255,3.551979392418438
XGBoostRegressor,SVR,voting,12.692676366215906,3.5626782574652887
XGBoostRegressor,RandomForestRegressor,cascade,12.741268399040834,3.5694913361767435
XGBoostRegressor,RandomForestRegressor,voting,13.046723882275675,3.6120249005614116
XGBoostRegressor,DecisionTreeRegressor,voting,13.135722244933373,3.624323694833751
XGBoostRegressor,GradientBoostingRegressor,voting,13.200475523064892,3.6332458660356157
XGBoostRegressor,DecisionTreeRegressor,cascade,13.495002861330406,3.6735545267942338
