model,2nd_model,type,mse,rmse
DecisionTreeRegressor,RandomForestRegressor,voting,8326394.74324637,2885.5492966238457
DecisionTreeRegressor,GradientBoostingRegressor,voting,9324572.85161912,3053.6163563255814
DecisionTreeRegressor,XGBoostRegressor,voting,10498184.648913726,3240.0902223416133
DecisionTreeRegressor,SVR,voting,10982653.75108026,3314.0087131871364
DecisionTreeRegressor,DecisionTreeRegressor,voting,13284822.794376237,3644.8350846610656
DecisionTreeRegressor,XGBoostRegressor,cascade,15413991.198330604,3926.0656130954567
DecisionTreeRegressor,RandomForestRegressor,cascade,15424991.83117021,3927.466337369451
DecisionTreeRegressor,GradientBoostingRegressor,cascade,15574672.164671175,3946.4759171533246
DecisionTreeRegressor,,plain,15597191.01455853,3949.327919350143
DecisionTreeRegressor,DecisionTreeRegressor,cascade,15755538.829675103,3969.3247322025823
DecisionTreeRegressor,SVR,cascade,19641920.184008047,4431.920597665086
GradientBoostingRegressor,RandomForestRegressor,voting,6835561.8340300135,2614.490740857579
GradientBoostingRegressor,,plain,8043454.621426973,2836.0984858475863
GradientBoostingRegressor,GradientBoostingRegressor,voting,8263687.899269707,2874.6630931762606
GradientBoostingRegressor,XGBoostRegressor,voting,8473039.056417264,2910.8485114167765
GradientBoostingRegressor,SVR,voting,9406715.107038757,3067.036861049889
GradientBoostingRegressor,DecisionTreeRegressor,voting,9416792.979991423,3068.6793543789195
GradientBoostingRegressor,GradientBoostingRegressor,cascade,9456691.654064117,3075.173434794226
GradientBoostingRegressor,RandomForestRegressor,cascade,9570996.869573236,3093.702776540312
GradientBoostingRegressor,XGBoostRegressor,cascade,9897433.477274904,3146.0186708401625
GradientBoostingRegressor,DecisionTreeRegressor,cascade,12400988.442956345,3521.503719003623
GradientBoostingRegressor,SVR,cascade,19651707.548216205,4433.024650079921
RandomForestRegressor,RandomForestRegressor,voting,5932087.813862596,2435.5877758484903
RandomForestRegressor,,plain,5991503.825032723,2447.7548539493746
RandomForestRegressor,RandomForestRegressor,cascade,6628246.359573666,2574.5380866426635
RandomForestRegressor,GradientBoostingRegressor,voting,6766967.050173602,2601.339472305297
RandomForestRegressor,GradientBoostingRegressor,cascade,6911558.794337367,2628.9843655559016
RandomForestRegressor,DecisionTreeRegressor,cascade,7056962.763701306,2656.4944501544333
RandomForestRegressor,XGBoostRegressor,voting,7365763.956334297,2713.9940965916444
RandomForestRegressor,XGBoostRegressor,cascade,7630854.271143934,2762.4000925180867
RandomForestRegressor,SVR,voting,9219556.12333146,3036.372197760258
RandomForestRegressor,DecisionTreeRegressor,voting,9298580.856259694,3049.3574497358773
RandomForestRegressor,SVR,cascade,19654654.008526985,4433.3569683172345
SVR,RandomForestRegressor,cascade,6765309.0248262985,2601.0207659352313
SVR,GradientBoostingRegressor,cascade,8055602.954057067,2838.2394109829893
SVR,RandomForestRegressor,voting,8952355.141024096,2992.048652850434
SVR,XGBoostRegressor,voting,9074320.90370667,3012.36135012164
SVR,GradientBoostingRegressor,voting,9396392.813262463,3065.353619611033
SVR,DecisionTreeRegressor,voting,10085957.660433428,3175.8396780116955
SVR,XGBoostRegressor,cascade,11401677.247595713,3376.6369730244487
SVR,DecisionTreeRegressor,cascade,13576260.530927572,3684.5977434351735
SVR,,plain,19618762.373421125,4429.307211452049
SVR,SVR,voting,19618762.373421125,4429.307211452049
SVR,SVR,cascade,19706083.709419966,4439.153490184808
XGBoostRegressor,RandomForestRegressor,voting,7377864.630179853,2716.2224927608295
XGBoostRegressor,GradientBoostingRegressor,voting,8592002.642990924,2931.2118045257193
XGBoostRegressor,SVR,voting,9074320.90370667,3012.36135012164
XGBoostRegressor,,plain,10317478.751221323,3212.0832416395006
XGBoostRegressor,XGBoostRegressor,voting,10317478.751221323,3212.0832416395006
XGBoostRegressor,GradientBoostingRegressor,cascade,10451215.47378935,3232.8339694128044
XGBoostRegressor,RandomForestRegressor,cascade,10476510.173697164,3236.7437608956884
XGBoostRegressor,DecisionTreeRegressor,cascade,10509476.430679565,3241.8322644269497
XGBoostRegressor,XGBoostRegressor,cascade,10753366.274704117,3279.2325740490132
XGBoostRegressor,DecisionTreeRegressor,voting,10783698.604076238,3283.8542300285253
XGBoostRegressor,SVR,cascade,19636878.023229834,4431.3517151349915
