model,2nd_model,type,mse,rmse
GradientBoostingRegressor,XGBoostRegressor,cascade,0.2553394783219061,0.5053112687462117
GradientBoostingRegressor,RandomForestRegressor,voting,0.263134188174714,0.5129660692236028
GradientBoostingRegressor,XGBoostRegressor,voting,0.26390228735818755,0.5137142078609346
GradientBoostingRegressor,RandomForestRegressor,cascade,0.2670854118993135,0.5168030687789242
GradientBoostingRegressor,SVR,cascade,0.2792088370907295,0.5284021546991737
GradientBoostingRegressor,SVR,voting,0.2850163808639521,0.5338692544658777
GradientBoostingRegressor,,plain,0.3208697118796647,0.5664536272985324
RandomForestRegressor,XGBoostRegressor,voting,0.2388909793353232,0.48876474845811374
RandomForestRegressor,SVR,voting,0.24901567930866614,0.4990147085093446
RandomForestRegressor,,plain,0.2506433352402746,0.5006429218917158
RandomForestRegressor,SVR,cascade,0.26187527746254385,0.5117375083600418
RandomForestRegressor,GradientBoostingRegressor,voting,0.26359701893066617,0.5134170029621791
RandomForestRegressor,GradientBoostingRegressor,cascade,0.3016920243959655,0.5492649855907124
RandomForestRegressor,XGBoostRegressor,cascade,0.3034833859265651,0.5508932618271575
SVR,RandomForestRegressor,voting,0.2486615370802336,0.4986597407854715
SVR,XGBoostRegressor,voting,0.25115393615789805,0.5011526076534951
SVR,XGBoostRegressor,cascade,0.2569139246646132,0.5068667721054648
SVR,RandomForestRegressor,cascade,0.2795865560640732,0.5287594500943441
SVR,GradientBoostingRegressor,cascade,0.2803047681595434,0.5294381627343683
SVR,GradientBoostingRegressor,voting,0.28502115912305476,0.5338737295681956
SVR,,plain,0.3025834356110426,0.5500758453259356
XGBoostRegressor,RandomForestRegressor,voting,0.23846164196439096,0.4883253443805584
XGBoostRegressor,SVR,voting,0.25115393615789805,0.5011526076534951
XGBoostRegressor,,plain,0.2534958256138619,0.5034836895211819
XGBoostRegressor,SVR,cascade,0.2577504836491153,0.5076913271360023
XGBoostRegressor,GradientBoostingRegressor,cascade,0.2596433096847613,0.5095520676876518
XGBoostRegressor,RandomForestRegressor,cascade,0.2619744660564454,0.5118344127317402
XGBoostRegressor,GradientBoostingRegressor,voting,0.2639056929698576,0.5137175225450827
