model,2nd_model,type,mse,rmse
GradientBoostingRegressor,SGDRegressor,voting,122844.98121916107,350.49248382691616
GradientBoostingRegressor,Lasso,voting,124379.32610138197,352.6745328222354
GradientBoostingRegressor,XGBoostRegressor,voting,130804.76195227727,361.6694097546505
GradientBoostingRegressor,,plain,143764.5269635823,379.1629293108469
GradientBoostingRegressor,MLPRegressor,cascade,143768.4639590256,379.16812096881984
GradientBoostingRegressor,Lasso,cascade,164122.1961956378,405.1199775321353
GradientBoostingRegressor,XGBoostRegressor,cascade,174937.21723776843,418.254966781948
GradientBoostingRegressor,SVR,voting,1264620.0440213138,1124.5532641993059
GradientBoostingRegressor,SVR,cascade,4566084.027899914,2136.839729109302
GradientBoostingRegressor,MLPRegressor,voting,10532361.652070224,3245.3600188685114
GradientBoostingRegressor,SGDRegressor,cascade,1.142507582502481e+31,3380099972637615.5
Lasso,XGBoostRegressor,voting,113205.52853523176,336.46029265759097
Lasso,SGDRegressor,voting,120270.51627438581,346.8003983192433
Lasso,,plain,121473.76025434432,348.53085983072475
Lasso,MLPRegressor,cascade,122100.99989942841,349.4295349558025
Lasso,GradientBoostingRegressor,voting,124093.24175961729,352.26870675610303
Lasso,GradientBoostingRegressor,cascade,145900.0905287511,381.9687035985424
Lasso,XGBoostRegressor,cascade,149885.08650195136,387.14995350891024
Lasso,SVR,voting,1254912.7404458406,1120.2288785984053
Lasso,SVR,cascade,4566418.035982163,2136.917882367538
Lasso,MLPRegressor,voting,10436843.503990376,3230.6103918594667
Lasso,SGDRegressor,cascade,1.3464265391623293e+33,3.669368527638413e+16
MLPRegressor,Lasso,cascade,121522.60338732445,348.60092281479183
MLPRegressor,XGBoostRegressor,cascade,129245.89946666351,359.50785730865954
MLPRegressor,GradientBoostingRegressor,cascade,138363.20667919534,371.97205093823294
MLPRegressor,SVR,cascade,4658315.070156808,2158.3130148699024
MLPRegressor,XGBoostRegressor,voting,10820116.399784548,3289.3945339202696
MLPRegressor,Lasso,voting,10955565.368804727,3309.9192390154667
MLPRegressor,GradientBoostingRegressor,voting,11507925.403960237,3392.3333273663184
MLPRegressor,SGDRegressor,voting,11832099.757290525,3439.78193455494
MLPRegressor,SVR,voting,13657983.33108554,3695.6708905265823
MLPRegressor,,plain,43562951.20551278,6600.223572388497
MLPRegressor,SGDRegressor,cascade,9.719957709256939e+27,98589845872974.86
SGDRegressor,XGBoostRegressor,voting,111294.91331974466,333.6089227220169
SGDRegressor,Lasso,voting,120527.61345630857,347.1708706909446
SGDRegressor,Lasso,cascade,120667.85824502066,347.37279433631625
SGDRegressor,,plain,120777.71191957741,347.53087908785517
SGDRegressor,MLPRegressor,cascade,121085.1239649756,347.97287820313755
SGDRegressor,GradientBoostingRegressor,voting,122928.75198005262,350.61196782205343
SGDRegressor,XGBoostRegressor,cascade,129542.30142247668,359.9198541654471
SGDRegressor,GradientBoostingRegressor,cascade,143094.28768962476,378.2780560508695
SGDRegressor,SVR,voting,1254720.4419659048,1120.1430453142602
SGDRegressor,SVR,cascade,4567678.275052071,2137.2127350949577
SGDRegressor,MLPRegressor,voting,11632990.24024701,3410.716968651461
SVR,Lasso,cascade,121750.79210372794,348.9280615022643
SVR,XGBoostRegressor,cascade,132411.4258014204,363.88380810558255
SVR,GradientBoostingRegressor,cascade,151579.9838598646,389.3327418287147
SVR,Lasso,voting,1254912.7404458406,1120.2288785984053
SVR,SGDRegressor,voting,1256452.5805771363,1120.9159560721473
SVR,GradientBoostingRegressor,voting,1261288.4993772751,1123.0710126155313
SVR,XGBoostRegressor,voting,1274623.7198067105,1128.9923470983806
SVR,MLPRegressor,cascade,4008490.6586885364,2002.1215394397354
SVR,,plain,4611870.068165323,2147.5264999914025
SVR,MLPRegressor,voting,13937728.511412704,3733.3267351536088
SVR,SGDRegressor,cascade,3.6026921121802556e+33,6.0022430075599704e+16
XGBoostRegressor,SGDRegressor,voting,110934.1878513248,333.0678427157518
XGBoostRegressor,Lasso,voting,113205.52853523176,336.46029265759097
XGBoostRegressor,GradientBoostingRegressor,cascade,129735.13869988803,360.18764373571736
XGBoostRegressor,GradientBoostingRegressor,voting,130438.1843493729,361.16226872331623
XGBoostRegressor,MLPRegressor,cascade,130468.27762595868,361.2039280322941
XGBoostRegressor,Lasso,cascade,130720.6280041959,361.55307771362686
XGBoostRegressor,,plain,130742.42090989981,361.58321436413473
XGBoostRegressor,SVR,voting,1274623.7198067105,1128.9923470983806
XGBoostRegressor,SVR,cascade,4566172.674505896,2136.8604714641283
XGBoostRegressor,MLPRegressor,voting,10846390.74876974,3293.385909481265
XGBoostRegressor,SGDRegressor,cascade,5.553814557803298e+32,2.356653253621181e+16
