model,2nd_model,type,mse,rmse
DecisionTreeRegressor,XGBoostRegressor,voting,400451.8098844426,632.812618303746
DecisionTreeRegressor,GradientBoostingRegressor,voting,402238.01283538376,634.2223686021991
DecisionTreeRegressor,RandomForestRegressor,voting,451047.0592572625,671.6003716923201
DecisionTreeRegressor,SVR,voting,465401.957636336,682.2037508225354
DecisionTreeRegressor,SVR,cascade,537080.100749954,732.8574900688087
DecisionTreeRegressor,DecisionTreeRegressor,voting,642350.6205151355,801.4677913148697
DecisionTreeRegressor,DecisionTreeRegressor,cascade,669982.4861364206,818.5245788224204
DecisionTreeRegressor,RandomForestRegressor,cascade,673009.5579661875,820.3715974887158
DecisionTreeRegressor,GradientBoostingRegressor,cascade,677509.042337459,823.1093744682167
DecisionTreeRegressor,,plain,678706.4273284461,823.8364081105217
DecisionTreeRegressor,XGBoostRegressor,cascade,685134.1895993783,827.7283307942155
GradientBoostingRegressor,XGBoostRegressor,voting,291914.09940010554,540.2907545017827
GradientBoostingRegressor,RandomForestRegressor,voting,292795.1307469086,541.1054710007178
GradientBoostingRegressor,RandomForestRegressor,cascade,298208.2156392577,546.0844400266845
GradientBoostingRegressor,,plain,299695.11715532065,547.4441680713392
GradientBoostingRegressor,GradientBoostingRegressor,voting,300271.87859329896,547.970691363415
GradientBoostingRegressor,GradientBoostingRegressor,cascade,305623.0608804997,552.8318558843183
GradientBoostingRegressor,DecisionTreeRegressor,cascade,314990.7247505702,561.2403449063246
GradientBoostingRegressor,XGBoostRegressor,cascade,319002.3165251859,564.8029005991257
GradientBoostingRegressor,SVR,voting,360820.27460583113,600.6831732334701
GradientBoostingRegressor,DecisionTreeRegressor,voting,392176.5994829328,626.2400494083182
GradientBoostingRegressor,SVR,cascade,537154.4890813174,732.9082405603838
RandomForestRegressor,,plain,280925.530570676,530.0240848967866
RandomForestRegressor,RandomForestRegressor,cascade,282345.3212092192,531.361761146979
RandomForestRegressor,GradientBoostingRegressor,cascade,286853.76580136706,535.5873092235915
RandomForestRegressor,RandomForestRegressor,voting,291280.898015156,539.7044543221373
RandomForestRegressor,XGBoostRegressor,cascade,291973.5943291206,540.3458099487037
RandomForestRegressor,GradientBoostingRegressor,voting,293315.0658603096,541.5856957678162
RandomForestRegressor,XGBoostRegressor,voting,294002.8668774212,542.2203121217622
RandomForestRegressor,DecisionTreeRegressor,cascade,305849.28430369927,553.0364222216284
RandomForestRegressor,SVR,voting,355008.74107926217,595.8260996962639
RandomForestRegressor,DecisionTreeRegressor,voting,411526.6318148191,641.5034152791543
RandomForestRegressor,SVR,cascade,537690.2435426327,733.2736484714507
SVR,RandomForestRegressor,cascade,277862.4082612471,527.1265581065396
SVR,GradientBoostingRegressor,cascade,308996.78695977567,555.8747943195262
SVR,XGBoostRegressor,cascade,335968.2067146072,579.6276448847201
SVR,RandomForestRegressor,voting,352372.33600572264,593.6095821377235
SVR,GradientBoostingRegressor,voting,353901.2784977311,594.896023266025
SVR,XGBoostRegressor,voting,356297.5467418157,596.9066482640444
SVR,DecisionTreeRegressor,voting,452862.6466008657,672.9507014639822
SVR,,plain,545556.0856684137,738.6176857267999
SVR,SVR,voting,545556.0856684137,738.6176857267999
SVR,SVR,cascade,547468.631361563,739.9112320823107
SVR,DecisionTreeRegressor,cascade,573623.2026422692,757.3791670241988
XGBoostRegressor,RandomForestRegressor,voting,289537.4981755663,538.086887199053
XGBoostRegressor,GradientBoostingRegressor,voting,295322.3980126909,543.4357349426801
XGBoostRegressor,RandomForestRegressor,cascade,326318.1944487035,571.2426756193058
XGBoostRegressor,,plain,327932.9021234411,572.654260547707
XGBoostRegressor,XGBoostRegressor,voting,327932.9021234411,572.654260547707
XGBoostRegressor,DecisionTreeRegressor,cascade,332763.5017639285,576.8565694901364
XGBoostRegressor,GradientBoostingRegressor,cascade,333386.8694130599,577.3966309332433
XGBoostRegressor,XGBoostRegressor,cascade,337939.4338783511,581.3255833681768
XGBoostRegressor,SVR,voting,356297.5467418157,596.9066482640444
XGBoostRegressor,DecisionTreeRegressor,voting,390416.49347881164,624.8331725179223
XGBoostRegressor,SVR,cascade,535274.1299285748,731.6243092794107
