model,2nd_model,type,mse,rmse
DecisionTreeRegressor,XGBoostRegressor,voting,525375.9691007828,724.8282342050306
DecisionTreeRegressor,RandomForestRegressor,voting,559147.075391798,747.7613759694988
DecisionTreeRegressor,XGBoostRegressor,cascade,838917.7768251795,915.9245475611948
DecisionTreeRegressor,RandomForestRegressor,cascade,839385.3893769337,916.179780052438
DecisionTreeRegressor,DecisionTreeRegressor,cascade,839748.0322881588,916.3776690252545
DecisionTreeRegressor,,plain,839777.7689711561,916.3938940058233
DecisionTreeRegressor,GradientBoostingRegressor,cascade,840861.9739628969,916.9852637653981
DecisionTreeRegressor,DecisionTreeRegressor,voting,1049604.5988468647,1024.502122421845
DecisionTreeRegressor,GradientBoostingRegressor,voting,1485875.3127805253,1218.964852971785
DecisionTreeRegressor,SVR,voting,3482274.4011264164,1866.0853145358644
DecisionTreeRegressor,SVR,cascade,11833223.092066035,3439.945216433837
GradientBoostingRegressor,XGBoostRegressor,cascade,546563.2886577151,739.2991875132253
GradientBoostingRegressor,RandomForestRegressor,cascade,698529.6079930342,835.7808372970956
GradientBoostingRegressor,DecisionTreeRegressor,cascade,1000783.0670688681,1000.3914569151758
GradientBoostingRegressor,DecisionTreeRegressor,voting,1459889.6372997197,1208.2589280860786
GradientBoostingRegressor,XGBoostRegressor,voting,1540433.0743567203,1241.1418429642601
GradientBoostingRegressor,RandomForestRegressor,voting,1737811.7675518799,1318.2608875150167
GradientBoostingRegressor,GradientBoostingRegressor,cascade,2451892.1463913345,1565.8518915885163
GradientBoostingRegressor,,plain,3861564.9539603847,1965.0865003760991
GradientBoostingRegressor,GradientBoostingRegressor,voting,3864002.612945433,1965.7066446816098
GradientBoostingRegressor,SVR,voting,6513139.692559003,2552.085361534563
GradientBoostingRegressor,SVR,cascade,12204059.361392822,3493.4308868779444
RandomForestRegressor,XGBoostRegressor,cascade,423364.3995392798,650.6645829759599
RandomForestRegressor,RandomForestRegressor,cascade,493658.8854901332,702.6086289607701
RandomForestRegressor,XGBoostRegressor,voting,494194.7418049543,702.9898589630965
RandomForestRegressor,GradientBoostingRegressor,cascade,516371.53282793664,718.5899615413067
RandomForestRegressor,DecisionTreeRegressor,cascade,593931.2160310276,770.6693298886544
RandomForestRegressor,DecisionTreeRegressor,voting,600087.5240106878,774.6531636872645
RandomForestRegressor,,plain,634171.7063489873,796.3489852752921
RandomForestRegressor,RandomForestRegressor,voting,653192.2608068248,808.2031061600944
RandomForestRegressor,GradientBoostingRegressor,voting,1736472.7489542793,1317.7529165038031
RandomForestRegressor,SVR,voting,3940787.1007803683,1985.141582049091
RandomForestRegressor,SVR,cascade,11903219.829762114,3450.1043215766845
SVR,XGBoostRegressor,cascade,480374.6005154497,693.0906149382271
SVR,RandomForestRegressor,cascade,726308.5645759308,852.2373874548867
SVR,DecisionTreeRegressor,cascade,1411021.0300279749,1187.8640620996894
SVR,DecisionTreeRegressor,voting,3617382.7722762804,1901.9418425063056
SVR,XGBoostRegressor,voting,3655179.3353671124,1911.8523309521352
SVR,RandomForestRegressor,voting,3915201.2075632103,1978.68673810768
SVR,GradientBoostingRegressor,cascade,3969232.2367956745,1992.2932105480043
SVR,GradientBoostingRegressor,voting,6526992.7060470935,2554.797977540904
SVR,,plain,12009043.032984471,3465.406618707893
SVR,SVR,voting,12009043.032984471,3465.406618707893
SVR,SVR,cascade,12448554.293587962,3528.2508830280144
XGBoostRegressor,XGBoostRegressor,cascade,427241.6139679996,653.6372189280531
XGBoostRegressor,RandomForestRegressor,cascade,467813.1007785888,683.9686402011343
XGBoostRegressor,RandomForestRegressor,voting,494424.8752763723,703.153521840268
XGBoostRegressor,GradientBoostingRegressor,cascade,495904.7968307611,704.2050815144414
XGBoostRegressor,DecisionTreeRegressor,voting,501121.24488807115,707.899177064129
XGBoostRegressor,DecisionTreeRegressor,cascade,526919.2223284198,725.8920183666575
XGBoostRegressor,,plain,543070.5932269846,736.9332352574313
XGBoostRegressor,XGBoostRegressor,voting,543070.5932269846,736.9332352574313
XGBoostRegressor,GradientBoostingRegressor,voting,1540580.7658041087,1241.201339752785
XGBoostRegressor,SVR,voting,3655179.3353671124,1911.8523309521352
XGBoostRegressor,SVR,cascade,11876346.178243078,3446.2075065560225
