model,2nd_model,type,mse,rmse
GradientBoostingRegressor,XGBoostRegressor,voting,2150.095120641714,46.36911817839233
GradientBoostingRegressor,,plain,2219.330676750805,47.109772624698635
GradientBoostingRegressor,XGBoostRegressor,cascade,2378.693902834836,48.771855642725306
GradientBoostingRegressor,RandomForestRegressor,voting,2443.1582651550557,49.428314407382494
GradientBoostingRegressor,RandomForestRegressor,cascade,2643.63697777778,51.41631042556224
GradientBoostingRegressor,SVR,voting,12306.59357065882,110.93508719363238
GradientBoostingRegressor,SVR,cascade,40732.02704404437,201.82177049080798
RandomForestRegressor,XGBoostRegressor,voting,2351.6517182593698,48.49383175476413
RandomForestRegressor,GradientBoostingRegressor,voting,2640.7448611108357,51.38817822331159
RandomForestRegressor,,plain,2928.0027555555553,54.11102249593474
RandomForestRegressor,XGBoostRegressor,cascade,3097.919443005696,55.65895653895872
RandomForestRegressor,GradientBoostingRegressor,cascade,3160.578234340021,56.21902021860592
RandomForestRegressor,SVR,voting,13343.787851513265,115.51531435923665
RandomForestRegressor,SVR,cascade,40769.10913289259,201.91361799762936
SVR,XGBoostRegressor,cascade,2024.9863423386382,44.99984824795122
SVR,GradientBoostingRegressor,cascade,2127.8622793556146,46.12875761773359
SVR,RandomForestRegressor,cascade,2728.920538888889,52.23907099948169
SVR,GradientBoostingRegressor,voting,12329.51634331976,111.03835528014524
SVR,XGBoostRegressor,voting,12730.182696811658,112.82811128797493
SVR,RandomForestRegressor,voting,13084.891919063804,114.38921242435322
SVR,,plain,37911.15668207803,194.70787524411546
XGBoostRegressor,GradientBoostingRegressor,voting,2225.2754592821198,47.172825432468215
XGBoostRegressor,RandomForestRegressor,voting,2570.796695138573,50.703024516675264
XGBoostRegressor,,plain,2724.133692373418,52.19323416280522
XGBoostRegressor,GradientBoostingRegressor,cascade,2946.2364261607245,54.279244893059484
XGBoostRegressor,RandomForestRegressor,cascade,3618.485733333331,60.153850527903295
XGBoostRegressor,SVR,voting,12730.182696811658,112.82811128797493
XGBoostRegressor,SVR,cascade,40748.172587658046,201.86176603720193
