model,2nd_model,type,mse,rmse
GradientBoostingRegressor,RandomForestRegressor,cascade,1611.9769631578945,40.149432912033696
GradientBoostingRegressor,RandomForestRegressor,voting,1706.2889082583683,41.30725006894514
GradientBoostingRegressor,,plain,2067.764403193134,45.4726775458971
GradientBoostingRegressor,XGBoostRegressor,voting,2256.202793613621,47.49950308807052
GradientBoostingRegressor,XGBoostRegressor,cascade,2376.5218266718407,48.749582835875025
GradientBoostingRegressor,SVR,voting,4923.521261772631,70.16780787350159
GradientBoostingRegressor,SVR,cascade,12442.754684873416,111.547096263746
RandomForestRegressor,XGBoostRegressor,cascade,1274.5844848309307,35.701323292434566
RandomForestRegressor,GradientBoostingRegressor,cascade,1413.7461420218908,37.59981571792461
RandomForestRegressor,,plain,1444.3024,38.00397873907415
RandomForestRegressor,GradientBoostingRegressor,voting,1768.0061095060273,42.04766473308627
RandomForestRegressor,XGBoostRegressor,voting,1901.0213274040295,43.600703290245555
RandomForestRegressor,SVR,voting,4885.024621305131,69.89295115607247
RandomForestRegressor,SVR,cascade,12293.240797705106,110.87488803919987
SVR,RandomForestRegressor,cascade,1718.3921473684213,41.453493789648434
SVR,GradientBoostingRegressor,cascade,2344.008951275854,48.41496619100187
SVR,XGBoostRegressor,cascade,2504.5013498269163,50.0449932543398
SVR,RandomForestRegressor,voting,4771.323382201607,69.07476660982364
SVR,GradientBoostingRegressor,voting,4888.3325385123435,69.91661132028885
SVR,XGBoostRegressor,voting,5210.95997337962,72.18697925096755
SVR,,plain,12865.641169093351,113.42680974572701
XGBoostRegressor,RandomForestRegressor,voting,1832.287110994969,42.805222940605844
XGBoostRegressor,RandomForestRegressor,cascade,2009.0450842105263,44.82237258569125
XGBoostRegressor,GradientBoostingRegressor,cascade,2078.142535835246,45.58664865764148
XGBoostRegressor,GradientBoostingRegressor,voting,2231.0173464468226,47.23364633867284
XGBoostRegressor,,plain,2473.9607606874474,49.73892601059504
XGBoostRegressor,SVR,voting,5210.95997337962,72.18697925096755
XGBoostRegressor,SVR,cascade,12464.998560339285,111.64675794817906
