model,2nd_model,type,mse,rmse
DecisionTreeRegressor,XGBoostRegressor,voting,23.66413873679754,4.864580016486268
DecisionTreeRegressor,GradientBoostingRegressor,voting,25.20186535674545,5.02014594974543
DecisionTreeRegressor,RandomForestRegressor,voting,25.275355066864428,5.027460100971904
DecisionTreeRegressor,SVR,voting,26.359464981396417,5.134146957518495
DecisionTreeRegressor,DecisionTreeRegressor,voting,33.042751514134565,5.748282483849812
DecisionTreeRegressor,SVR,cascade,35.20239698059308,5.933160791735976
DecisionTreeRegressor,XGBoostRegressor,cascade,35.34124704850014,5.944850464772023
DecisionTreeRegressor,,plain,35.914643137349316,5.9928827067905575
DecisionTreeRegressor,GradientBoostingRegressor,cascade,35.9189536943899,5.993242335696922
DecisionTreeRegressor,RandomForestRegressor,cascade,36.05380648579256,6.004482199639913
DecisionTreeRegressor,DecisionTreeRegressor,cascade,36.07230321891378,6.006022245955619
GradientBoostingRegressor,XGBoostRegressor,voting,18.787820787599774,4.334491987257535
GradientBoostingRegressor,DecisionTreeRegressor,cascade,20.869529081957552,4.568317970758772
GradientBoostingRegressor,RandomForestRegressor,voting,21.267086406502578,4.611625137248536
GradientBoostingRegressor,RandomForestRegressor,cascade,21.424886515525177,4.628702465651165
GradientBoostingRegressor,GradientBoostingRegressor,cascade,21.826257110162327,4.671857993364346
GradientBoostingRegressor,GradientBoostingRegressor,voting,22.005938047270824,4.691048715081823
GradientBoostingRegressor,SVR,cascade,22.028860558762904,4.6934912973992935
GradientBoostingRegressor,XGBoostRegressor,cascade,22.165779746252984,4.708054773072737
GradientBoostingRegressor,,plain,22.26704479850099,4.718796965170359
GradientBoostingRegressor,SVR,voting,22.283883492220493,4.720580842673971
GradientBoostingRegressor,DecisionTreeRegressor,voting,27.202565404120563,5.21560786525603
RandomForestRegressor,XGBoostRegressor,voting,18.005690441105617,4.243311259041177
RandomForestRegressor,RandomForestRegressor,voting,20.008136258723738,4.473045523882329
RandomForestRegressor,GradientBoostingRegressor,voting,20.66527358129211,4.5459073441164755
RandomForestRegressor,SVR,cascade,21.28618727636893,4.61369562025595
RandomForestRegressor,XGBoostRegressor,cascade,21.53201985007872,4.640260752380056
RandomForestRegressor,SVR,voting,21.543405313841543,4.641487403176006
RandomForestRegressor,RandomForestRegressor,cascade,21.80768965214894,4.669870410637638
RandomForestRegressor,,plain,21.8402320301705,4.673353403089745
RandomForestRegressor,GradientBoostingRegressor,cascade,22.307220905334734,4.723052075230035
RandomForestRegressor,DecisionTreeRegressor,voting,23.785933061491363,4.877082433329517
RandomForestRegressor,DecisionTreeRegressor,cascade,25.4697897273978,5.046760319987249
SVR,GradientBoostingRegressor,cascade,17.399009581841817,4.171212003943436
SVR,RandomForestRegressor,cascade,18.627720983836383,4.315984358618134
SVR,XGBoostRegressor,cascade,18.784667937168305,4.334128278808589
SVR,XGBoostRegressor,voting,19.229787435105447,4.385178153177525
SVR,RandomForestRegressor,voting,21.737888809635265,4.662390889837023
SVR,GradientBoostingRegressor,voting,22.073018733367185,4.698193134958075
SVR,,plain,25.315584460592618,5.031459476195015
SVR,SVR,voting,25.315584460592618,5.031459476195015
SVR,SVR,cascade,26.316731938777238,5.129983619737712
SVR,DecisionTreeRegressor,voting,27.221128502011055,5.217387133614972
SVR,DecisionTreeRegressor,cascade,31.04608796812762,5.571901647384636
XGBoostRegressor,SVR,cascade,16.909594323396348,4.112127712437486
XGBoostRegressor,RandomForestRegressor,cascade,17.104265769188164,4.135730379169822
XGBoostRegressor,GradientBoostingRegressor,cascade,17.18677947888939,4.14569408891797
XGBoostRegressor,,plain,17.193956662903727,4.146559617671465
XGBoostRegressor,XGBoostRegressor,voting,17.193956662903727,4.146559617671465
XGBoostRegressor,DecisionTreeRegressor,cascade,17.203285321999473,4.147684332491984
XGBoostRegressor,XGBoostRegressor,cascade,17.50126343080575,4.18345113880941
XGBoostRegressor,RandomForestRegressor,voting,17.77931480425605,4.216552478536944
XGBoostRegressor,GradientBoostingRegressor,voting,18.504910116655342,4.301733385119927
XGBoostRegressor,SVR,voting,19.229787435105447,4.385178153177525
XGBoostRegressor,DecisionTreeRegressor,voting,23.471691913770737,4.844759221444419
