model,2nd_model,type,mse,rmse
GradientBoostingRegressor,XGBoostRegressor,voting,9.452096475692418,3.074426202674642
GradientBoostingRegressor,RandomForestRegressor,voting,9.492509100030414,3.080991577403355
GradientBoostingRegressor,RandomForestRegressor,cascade,9.593797622507378,3.097385610883375
GradientBoostingRegressor,XGBoostRegressor,cascade,9.681030746988847,3.111435480126311
GradientBoostingRegressor,SVR,cascade,10.184137268581756,3.191259511318651
GradientBoostingRegressor,,plain,10.232158078809132,3.1987744651364736
GradientBoostingRegressor,SVR,voting,10.246939167056587,3.2010840612293494
RandomForestRegressor,XGBoostRegressor,voting,9.196634476299751,3.0325953367206364
RandomForestRegressor,GradientBoostingRegressor,voting,9.494251480319384,3.0812743273391585
RandomForestRegressor,,plain,9.512951747240717,3.084307336703124
RandomForestRegressor,SVR,voting,9.624512378838723,3.1023398232364428
RandomForestRegressor,SVR,cascade,9.716116420174346,3.117068561994482
RandomForestRegressor,GradientBoostingRegressor,cascade,9.742547081860822,3.1213053490264007
RandomForestRegressor,XGBoostRegressor,cascade,9.897181374140105,3.1459786035731563
SVR,XGBoostRegressor,voting,9.600124467083207,3.098406762690013
SVR,RandomForestRegressor,voting,9.636986984225775,3.104349687813178
SVR,XGBoostRegressor,cascade,9.793266909750505,3.1294195803296345
SVR,RandomForestRegressor,cascade,9.93747200885818,3.152375613542615
SVR,GradientBoostingRegressor,cascade,10.19772216845182,3.19338725626126
SVR,GradientBoostingRegressor,voting,10.246924000170386,3.2010816922050562
SVR,,plain,11.101458869849479,3.3318851825729947
XGBoostRegressor,RandomForestRegressor,voting,9.16532790566393,3.0274292569214443
XGBoostRegressor,GradientBoostingRegressor,voting,9.451156534188863,3.074273334332662
XGBoostRegressor,SVR,voting,9.600124467083207,3.098406762690013
XGBoostRegressor,,plain,9.60695102842354,3.0995081913786806
XGBoostRegressor,SVR,cascade,9.754100276707725,3.1231554999243514
XGBoostRegressor,GradientBoostingRegressor,cascade,10.012500378761088,3.164253526309339
XGBoostRegressor,RandomForestRegressor,cascade,10.275118666018459,3.2054825948706163
