model,2nd_model,type,mse,rmse
GradientBoostingRegressor,XGBoostRegressor,voting,60903.47438363022,246.78629294114012
GradientBoostingRegressor,RandomForestRegressor,voting,64412.482489196576,253.79614356643913
GradientBoostingRegressor,XGBoostRegressor,cascade,66265.18703240028,257.4202537338511
GradientBoostingRegressor,RandomForestRegressor,cascade,72510.22252785481,269.2772224452986
GradientBoostingRegressor,,plain,83407.30590784886,288.8032304318095
GradientBoostingRegressor,SVR,voting,1816373.3563593007,1347.7289624992484
GradientBoostingRegressor,SVR,cascade,1902805.4019007771,1379.4221260733702
RandomForestRegressor,XGBoostRegressor,voting,54904.8700706128,234.31788252417442
RandomForestRegressor,XGBoostRegressor,cascade,57731.65713821218,240.27412914879574
RandomForestRegressor,GradientBoostingRegressor,cascade,59763.103099393884,244.46493224876627
RandomForestRegressor,,plain,63897.06757450576,252.77869288076033
RandomForestRegressor,GradientBoostingRegressor,voting,64643.86781349136,254.25158369908212
RandomForestRegressor,SVR,voting,1796108.3600348234,1340.1896731563124
RandomForestRegressor,SVR,cascade,1824419.243301848,1350.7106438100827
SVR,XGBoostRegressor,cascade,61242.64913571024,247.47252198114893
SVR,RandomForestRegressor,cascade,64435.21104178224,253.8409167998379
SVR,GradientBoostingRegressor,cascade,83783.79620444,289.4543076280607
SVR,XGBoostRegressor,voting,1780827.989571743,1334.4766725468614
SVR,RandomForestRegressor,voting,1793690.717479759,1339.2873916675833
SVR,GradientBoostingRegressor,voting,1816373.946760871,1347.7291815349517
SVR,,plain,6926223.095978884,2631.7718548496723
XGBoostRegressor,RandomForestRegressor,voting,54011.76665373276,232.40431720115004
XGBoostRegressor,,plain,59797.68783151917,244.5356575870259
XGBoostRegressor,GradientBoostingRegressor,cascade,60550.638341185564,246.07039306098076
XGBoostRegressor,RandomForestRegressor,cascade,60611.09412221894,246.19320486605423
XGBoostRegressor,GradientBoostingRegressor,voting,60945.16590920788,246.87074737442643
XGBoostRegressor,SVR,voting,1780827.989571743,1334.4766725468614
XGBoostRegressor,SVR,cascade,1815270.0054397625,1347.3195632216443
