model,2nd_model,type,mse,rmse
GradientBoostingRegressor,Lasso,cascade,899192.5501220635,948.2576391055669
GradientBoostingRegressor,XGBoostRegressor,cascade,909459.668936776,953.6559489337735
GradientBoostingRegressor,Lasso,voting,915777.2673514028,956.9625213932899
GradientBoostingRegressor,SGDRegressor,voting,936934.4955740004,967.9537672709375
GradientBoostingRegressor,XGBoostRegressor,voting,987966.8982698402,993.965239970614
GradientBoostingRegressor,MLPRegressor,cascade,1174779.6255699445,1083.8725135226673
GradientBoostingRegressor,,plain,1208529.6704280719,1099.3314652224196
GradientBoostingRegressor,MLPRegressor,voting,1574835.0142718647,1254.9243061921563
GradientBoostingRegressor,SVR,voting,12633043.352032192,3554.299277217971
GradientBoostingRegressor,SVR,cascade,39993835.95193653,6324.067990774334
GradientBoostingRegressor,SGDRegressor,cascade,4.9970743350102765e+32,2.235413683193846e+16
Lasso,GradientBoostingRegressor,cascade,771040.8663247804,878.0893270759988
Lasso,XGBoostRegressor,cascade,782837.8892567531,884.7812663346535
Lasso,XGBoostRegressor,voting,810519.5626052775,900.2885996197427
Lasso,GradientBoostingRegressor,voting,919620.1750976591,958.9682868049699
Lasso,MLPRegressor,cascade,958150.6540883189,978.8517017854742
Lasso,,plain,983378.2253559044,991.6542872170243
Lasso,SGDRegressor,voting,988714.1169396688,994.341046593003
Lasso,MLPRegressor,voting,1412688.9178163472,1188.5659080658284
Lasso,SVR,voting,12252666.785292262,3500.380948595776
Lasso,SVR,cascade,39933029.08431406,6319.258586599702
Lasso,SGDRegressor,cascade,4.337614825688619e+32,2.0826941267715284e+16
MLPRegressor,Lasso,cascade,945953.7418318624,972.6015329166731
MLPRegressor,XGBoostRegressor,cascade,971186.6967654718,985.4880500368697
MLPRegressor,GradientBoostingRegressor,cascade,1253625.7622083463,1119.6543047781963
MLPRegressor,XGBoostRegressor,voting,1402354.3590726363,1184.21043698856
MLPRegressor,Lasso,voting,1416295.4598550105,1190.0821231557975
MLPRegressor,SGDRegressor,voting,1448379.0332601669,1203.4861998627848
MLPRegressor,GradientBoostingRegressor,voting,1594223.469765921,1262.625625340275
MLPRegressor,,plain,2766917.7770185843,1663.4054758292052
MLPRegressor,SVR,voting,13327612.652545016,3650.700296182229
MLPRegressor,SVR,cascade,40485923.05663572,6362.854945434143
MLPRegressor,SGDRegressor,cascade,8.628036203017092e+32,2.9373519031633052e+16
SGDRegressor,XGBoostRegressor,cascade,780852.3616205158,883.6585096181193
SGDRegressor,GradientBoostingRegressor,cascade,801554.8046030778,895.2959313004152
SGDRegressor,XGBoostRegressor,voting,828914.3900743073,910.4473571131432
SGDRegressor,GradientBoostingRegressor,voting,955037.1550383482,977.2600242710986
SGDRegressor,Lasso,cascade,978939.0227457546,989.4134741076425
SGDRegressor,MLPRegressor,cascade,1002905.284998701,1001.4515889441192
SGDRegressor,Lasso,voting,1006480.7689713959,1003.235151383461
SGDRegressor,,plain,1009361.8257881216,1004.6700084048102
SGDRegressor,MLPRegressor,voting,1467192.9741574961,1211.2774142026658
SGDRegressor,SVR,voting,12243604.415332904,3499.0862257642216
SGDRegressor,SVR,cascade,39992945.58293569,6323.997595108311
SVR,Lasso,cascade,984894.834230115,992.4186789002488
SVR,XGBoostRegressor,cascade,1032290.7146442193,1016.0170838348238
SVR,GradientBoostingRegressor,cascade,1228344.8949935462,1108.3072204914783
SVR,MLPRegressor,cascade,6002832.825512871,2450.067922632528
SVR,SGDRegressor,voting,12158367.586374173,3486.885083620361
SVR,XGBoostRegressor,voting,12232010.64631609,3497.429148148121
SVR,Lasso,voting,12252666.785292262,3500.380948595776
SVR,GradientBoostingRegressor,voting,12634331.448898878,3554.4804752451346
SVR,MLPRegressor,voting,13359811.969099065,3655.107654926058
SVR,,plain,45733567.55211855,6762.659798638295
SVR,SGDRegressor,cascade,2.2111746617650706e+34,1.4870019037530083e+17
XGBoostRegressor,Lasso,voting,810519.5626052775,900.2885996197427
XGBoostRegressor,SGDRegressor,voting,823279.4739388672,907.3474934879509
XGBoostRegressor,GradientBoostingRegressor,voting,990130.91161427,995.0532204933914
XGBoostRegressor,MLPRegressor,cascade,1023249.5732916917,1011.5579930442404
XGBoostRegressor,,plain,1023455.2455797817,1011.6596490815385
XGBoostRegressor,Lasso,cascade,1024949.7181987917,1012.3980038496677
XGBoostRegressor,GradientBoostingRegressor,cascade,1040137.7536647253,1019.871439773036
XGBoostRegressor,MLPRegressor,voting,1416198.7912731683,1190.041508214385
XGBoostRegressor,SVR,voting,12232010.64631609,3497.429148148121
XGBoostRegressor,SVR,cascade,39744679.56379665,6304.33815430269
XGBoostRegressor,SGDRegressor,cascade,1.1030723670765956e+34,1.05027252038535e+17
