model,2nd_model,type,feature,importance,std,column
DecisionTreeRegressor,,plain,,831.185, +/- 8.970,ts
DecisionTreeRegressor,,plain,,15.078, +/- 0.514,next_hour
DecisionTreeRegressor,,plain,,9.602, +/- 0.986,next_week
DecisionTreeRegressor,,plain,,9.351, +/- 0.536,day_of_year
DecisionTreeRegressor,,plain,,7.394, +/- 0.544,prev_hour
DecisionTreeRegressor,,plain,,7.370, +/- 0.520,prev_week
DecisionTreeRegressor,,plain,,6.091, +/- 1.285,hour
DecisionTreeRegressor,,plain,,5.842, +/- 0.407,year
DecisionTreeRegressor,,plain,,3.785, +/- 0.746,month
DecisionTreeRegressor,,plain,,2.670, +/- 0.362,week_of_year
DecisionTreeRegressor,,plain,,2.324, +/- 0.136,day_of_week
DecisionTreeRegressor,,plain,,1.632, +/- 0.322,prev_day
DecisionTreeRegressor,,plain,,1.504, +/- 0.779,day
DecisionTreeRegressor,,plain,,0.325, +/- 0.126,next_day
DecisionTreeRegressor,DecisionTreeRegressor,voting,,823.455, +/- 10.251,ts
DecisionTreeRegressor,DecisionTreeRegressor,voting,,11.117, +/- 0.545,next_hour
DecisionTreeRegressor,DecisionTreeRegressor,voting,,8.335, +/- 0.918,week_of_year
DecisionTreeRegressor,DecisionTreeRegressor,voting,,8.132, +/- 0.842,day_of_year
DecisionTreeRegressor,DecisionTreeRegressor,voting,,6.151, +/- 0.270,prev_week
DecisionTreeRegressor,DecisionTreeRegressor,voting,,4.884, +/- 1.259,next_week
DecisionTreeRegressor,DecisionTreeRegressor,voting,,4.206, +/- 0.490,year
DecisionTreeRegressor,DecisionTreeRegressor,voting,,1.393, +/- 0.132,month
DecisionTreeRegressor,DecisionTreeRegressor,voting,,1.305, +/- 0.134,prev_hour
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.323, +/- 0.180,day_of_week
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.124, +/- 0.636,prev_day
DecisionTreeRegressor,DecisionTreeRegressor,voting,,0.006, +/- 0.523,next_day
DecisionTreeRegressor,DecisionTreeRegressor,voting,,-0.016, +/- 0.495,hour
DecisionTreeRegressor,DecisionTreeRegressor,voting,,-0.215, +/- 0.397,day
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,844.526, +/- 14.694,preds
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.097, +/- 0.000,ts
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.002, +/- 0.109,prev_day
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.002, +/- 0.003,prev_hour
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,year
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,month
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,prev_week
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,next_week
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,day_of_year
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,day_of_week
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,day
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,next_hour
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,hour
DecisionTreeRegressor,DecisionTreeRegressor,cascade,,-0.001, +/- 0.004,next_day
DecisionTreeRegressor,RandomForestRegressor,voting,,825.719, +/- 10.499,ts
DecisionTreeRegressor,RandomForestRegressor,voting,,10.852, +/- 0.016,next_hour
DecisionTreeRegressor,RandomForestRegressor,voting,,3.431, +/- 0.071,prev_hour
DecisionTreeRegressor,RandomForestRegressor,voting,,3.346, +/- 0.309,prev_week
DecisionTreeRegressor,RandomForestRegressor,voting,,2.917, +/- 0.335,day_of_year
DecisionTreeRegressor,RandomForestRegressor,voting,,2.322, +/- 0.206,year
DecisionTreeRegressor,RandomForestRegressor,voting,,2.104, +/- 0.440,next_week
DecisionTreeRegressor,RandomForestRegressor,voting,,1.773, +/- 0.143,hour
DecisionTreeRegressor,RandomForestRegressor,voting,,1.620, +/- 0.363,week_of_year
DecisionTreeRegressor,RandomForestRegressor,voting,,0.587, +/- 0.077,month
DecisionTreeRegressor,RandomForestRegressor,voting,,0.500, +/- 0.036,day_of_week
DecisionTreeRegressor,RandomForestRegressor,voting,,0.289, +/- 0.202,day
DecisionTreeRegressor,RandomForestRegressor,voting,,-0.018, +/- 0.121,prev_day
DecisionTreeRegressor,RandomForestRegressor,voting,,-0.021, +/- 0.116,next_day
DecisionTreeRegressor,RandomForestRegressor,cascade,,842.360, +/- 14.989,preds
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.471, +/- 0.064,ts
DecisionTreeRegressor,RandomForestRegressor,cascade,,0.007, +/- 0.004,prev_hour
