model,2nd_model,type,mse,rmse
GradientBoostingRegressor,XGBoostRegressor,cascade,15.778114653194136,3.972167500646736
GradientBoostingRegressor,XGBoostRegressor,voting,16.18981590768128,4.023657031567337
GradientBoostingRegressor,RandomForestRegressor,cascade,16.46786990615224,4.0580623339411925
GradientBoostingRegressor,RandomForestRegressor,voting,16.824994000321094,4.101828129056737
GradientBoostingRegressor,,plain,17.882522479915956,4.228773164868974
GradientBoostingRegressor,SVR,cascade,18.424485317743095,4.2923752536029625
GradientBoostingRegressor,SVR,voting,19.67395975901439,4.435533762583077
RandomForestRegressor,XGBoostRegressor,voting,16.071953260141232,4.008984068332179
RandomForestRegressor,GradientBoostingRegressor,voting,16.80966114825107,4.099958676407735
RandomForestRegressor,,plain,17.52084109489051,4.185790378756503
RandomForestRegressor,GradientBoostingRegressor,cascade,17.708866021703066,4.208190349984547
RandomForestRegressor,XGBoostRegressor,cascade,18.269615223203616,4.274297044334146
RandomForestRegressor,SVR,cascade,18.619240128934496,4.315001753062737
RandomForestRegressor,SVR,voting,19.249925703708353,4.387473726839667
SVR,XGBoostRegressor,cascade,15.645291275218753,3.9554129083091634
SVR,GradientBoostingRegressor,cascade,17.33614790885147,4.163670004797627
SVR,RandomForestRegressor,cascade,17.641117476538064,4.2001330308143885
SVR,XGBoostRegressor,voting,18.428336427381435,4.292823829064202
SVR,RandomForestRegressor,voting,19.197886087998178,4.381539237299853
SVR,GradientBoostingRegressor,voting,19.688156877582177,4.4371338584250735
SVR,,plain,26.313481258470265,5.12966677850231
XGBoostRegressor,RandomForestRegressor,voting,16.009368110785537,4.001170842489175
XGBoostRegressor,GradientBoostingRegressor,voting,16.182270745660347,4.022719322257066
XGBoostRegressor,,plain,16.455803846454554,4.0565753840468135
XGBoostRegressor,GradientBoostingRegressor,cascade,16.676577108786006,4.083696500572246
XGBoostRegressor,RandomForestRegressor,cascade,16.9370656725756,4.115466640926105
XGBoostRegressor,SVR,cascade,17.49969661604135,4.1832638711945185
XGBoostRegressor,SVR,voting,18.428336427381435,4.292823829064202
