model,2nd_model,type,mse,rmse
DecisionTreeRegressor,GradientBoostingRegressor,voting,408071.71071766136,638.804908182194
DecisionTreeRegressor,SVR,cascade,415913.7943590832,644.9137883152159
DecisionTreeRegressor,RandomForestRegressor,voting,429166.51851648383,655.1080204946996
DecisionTreeRegressor,SVR,voting,441004.9534056219,664.0820381591584
DecisionTreeRegressor,XGBoostRegressor,voting,447202.8207822032,668.732248947367
DecisionTreeRegressor,DecisionTreeRegressor,voting,641206.9161909159,800.7539673276154
DecisionTreeRegressor,XGBoostRegressor,cascade,652206.5098531146,807.593034797301
DecisionTreeRegressor,DecisionTreeRegressor,cascade,652237.6432942247,807.6123100189997
DecisionTreeRegressor,RandomForestRegressor,cascade,659736.6726774798,812.241757531266
DecisionTreeRegressor,,plain,660129.3267682216,812.4834316884385
DecisionTreeRegressor,GradientBoostingRegressor,cascade,664011.7727139578,814.8691752140081
GradientBoostingRegressor,RandomForestRegressor,voting,317746.43943220563,563.6900206959546
GradientBoostingRegressor,XGBoostRegressor,voting,318058.1593628424,563.9664523381177
GradientBoostingRegressor,GradientBoostingRegressor,voting,325514.85462156,570.539091230005
GradientBoostingRegressor,,plain,330211.1762874329,574.6400406232
GradientBoostingRegressor,SVR,voting,346095.57252356526,588.2988802671354
GradientBoostingRegressor,RandomForestRegressor,cascade,355694.8772057235,596.4016073131623
GradientBoostingRegressor,GradientBoostingRegressor,cascade,358237.43980799307,598.5293976138457
GradientBoostingRegressor,XGBoostRegressor,cascade,377422.81181471795,614.347468306591
GradientBoostingRegressor,SVR,cascade,404367.9771788952,635.8993451631281
GradientBoostingRegressor,DecisionTreeRegressor,cascade,408851.4956926664,639.4149636133536
GradientBoostingRegressor,DecisionTreeRegressor,voting,438517.6790426328,662.206673964128
RandomForestRegressor,GradientBoostingRegressor,voting,319878.0206579638,565.5775991479541
RandomForestRegressor,XGBoostRegressor,voting,321627.60214195965,567.1222109404283
RandomForestRegressor,,plain,324673.26622030773,569.80107600838
RandomForestRegressor,RandomForestRegressor,voting,325768.96251631674,570.7617388335668
RandomForestRegressor,XGBoostRegressor,cascade,338672.2412966315,581.9555320611976
RandomForestRegressor,RandomForestRegressor,cascade,339305.2894471904,582.499175490567
RandomForestRegressor,GradientBoostingRegressor,cascade,340442.3624239928,583.4743888329571
RandomForestRegressor,SVR,voting,345137.83456926694,587.4843270839376
RandomForestRegressor,DecisionTreeRegressor,cascade,375304.1314175765,612.6207076304037
RandomForestRegressor,DecisionTreeRegressor,voting,387859.9994376265,622.7840712780205
RandomForestRegressor,SVR,cascade,405761.3538715201,636.9939983010202
SVR,GradientBoostingRegressor,cascade,300949.54581906437,548.5886854639497
SVR,RandomForestRegressor,cascade,317083.3489771509,563.1015441082993
SVR,XGBoostRegressor,voting,341355.91907177767,584.2567235999751
SVR,GradientBoostingRegressor,voting,346229.77515643113,588.4129291207248
SVR,RandomForestRegressor,voting,350678.18172347965,592.1808690961568
SVR,XGBoostRegressor,cascade,354916.3375394636,595.7485522764312
SVR,,plain,425008.1177665319,651.9264665332524
SVR,SVR,voting,425008.1177665319,651.9264665332524
SVR,SVR,cascade,427245.6614518007,653.6403150447505
SVR,DecisionTreeRegressor,voting,472317.20038367977,687.2533742250232
SVR,DecisionTreeRegressor,cascade,494992.3253462424,703.5569098134439
XGBoostRegressor,GradientBoostingRegressor,voting,320087.35792533983,565.7626339069591
XGBoostRegressor,RandomForestRegressor,voting,323835.7173469682,569.0656529320393
XGBoostRegressor,XGBoostRegressor,cascade,337054.279647126,580.5637601910112
XGBoostRegressor,,plain,337374.93731849757,580.8398551395192
XGBoostRegressor,XGBoostRegressor,voting,337374.93731849757,580.8398551395192
XGBoostRegressor,GradientBoostingRegressor,cascade,338791.83809599496,582.05827723347
XGBoostRegressor,SVR,voting,341355.91907177767,584.2567235999751
XGBoostRegressor,RandomForestRegressor,cascade,341655.9820341107,584.5134575303726
XGBoostRegressor,DecisionTreeRegressor,cascade,342673.4421086067,585.3831583745869
XGBoostRegressor,SVR,cascade,401699.17889754166,633.7974273358496
XGBoostRegressor,DecisionTreeRegressor,voting,419091.1484451384,647.3724958979478
