model,2nd_model,type,mse,rmse
GradientBoostingRegressor,RandomForestRegressor,voting,0.035018443557625074,0.18713215532779254
GradientBoostingRegressor,,plain,0.03564462206005862,0.18879783383306764
GradientBoostingRegressor,XGBoostRegressor,cascade,0.03693567653912043,0.1921865670100812
GradientBoostingRegressor,XGBoostRegressor,voting,0.037074923711759106,0.19254849703843213
GradientBoostingRegressor,RandomForestRegressor,cascade,0.03734018343195268,0.19323608211706395
GradientBoostingRegressor,SVR,voting,0.03970944812411703,0.19927229642907474
GradientBoostingRegressor,SVR,cascade,0.04131261174670286,0.2032550411347843
RandomForestRegressor,GradientBoostingRegressor,voting,0.03377863926227392,0.18378966037912448
RandomForestRegressor,XGBoostRegressor,voting,0.0364431223009598,0.19090081796828373
RandomForestRegressor,,plain,0.03705374556213026,0.1924934948566581
RandomForestRegressor,GradientBoostingRegressor,cascade,0.037918528215411015,0.19472680404970194
RandomForestRegressor,XGBoostRegressor,cascade,0.038721246891864035,0.19677715032966617
RandomForestRegressor,SVR,voting,0.039423147941121436,0.19855263267235074
RandomForestRegressor,SVR,cascade,0.0422082178033959,0.20544638668858572
SVR,RandomForestRegressor,voting,0.03945715273962055,0.1986382459135716
SVR,XGBoostRegressor,voting,0.04014820051859633,0.20037015875273526
SVR,GradientBoostingRegressor,voting,0.040587962663676244,0.20146454443319858
SVR,GradientBoostingRegressor,cascade,0.04138836657604038,0.2034413099054378
SVR,RandomForestRegressor,cascade,0.0418590355029586,0.20459480810362368
SVR,XGBoostRegressor,cascade,0.04666067646244444,0.21601082487330223
SVR,,plain,0.05790874204504979,0.24064235297438769
XGBoostRegressor,RandomForestRegressor,voting,0.035550233954423284,0.18854769676244598
XGBoostRegressor,GradientBoostingRegressor,voting,0.03620345413282414,0.19027205294741564
XGBoostRegressor,SVR,voting,0.04014820051859633,0.20037015875273526
XGBoostRegressor,SVR,cascade,0.04386761652677227,0.20944597519831282
XGBoostRegressor,,plain,0.04400249380885615,0.20976771393342722
XGBoostRegressor,RandomForestRegressor,cascade,0.04601006508875707,0.21449956897102862
XGBoostRegressor,GradientBoostingRegressor,cascade,0.04709108784261906,0.2170048106439557
