model,2nd_model,type,mse,rmse
GradientBoostingRegressor,RandomForestRegressor,voting,1.1085779886143867,1.052890302270083
GradientBoostingRegressor,,plain,1.1115048602397426,1.0542793084566076
GradientBoostingRegressor,SVR,voting,1.1137999422295393,1.0553672072930536
GradientBoostingRegressor,XGBoostRegressor,voting,1.118833583087491,1.0577493006792729
GradientBoostingRegressor,SVR,cascade,1.1691866182237385,1.081289331411227
GradientBoostingRegressor,RandomForestRegressor,cascade,1.1876397878697982,1.0897888730712009
GradientBoostingRegressor,XGBoostRegressor,cascade,1.2968032373563578,1.1387726890632555
RandomForestRegressor,GradientBoostingRegressor,voting,1.1111031035208747,1.0540887550490587
RandomForestRegressor,SVR,voting,1.1240505760308694,1.0602125145605807
RandomForestRegressor,XGBoostRegressor,voting,1.126567787824871,1.0613989767400716
RandomForestRegressor,,plain,1.1429224255365724,1.0690755003911427
RandomForestRegressor,GradientBoostingRegressor,cascade,1.1805838438080567,1.086546751782019
RandomForestRegressor,XGBoostRegressor,cascade,1.192264480505992,1.091908641098692
RandomForestRegressor,SVR,cascade,1.2088352898377603,1.0994704588290494
SVR,GradientBoostingRegressor,voting,1.1134799395315065,1.0552155891245667
SVR,RandomForestRegressor,voting,1.1159496782251517,1.0563851940580915
SVR,XGBoostRegressor,voting,1.1322952060883928,1.0640936077659675
SVR,GradientBoostingRegressor,cascade,1.181661176818864,1.0870423988138016
SVR,,plain,1.238214840815157,1.1127510237313454
SVR,RandomForestRegressor,cascade,1.2818729850551462,1.1321982975853417
SVR,XGBoostRegressor,cascade,1.333672811550315,1.154847527403646
XGBoostRegressor,GradientBoostingRegressor,voting,1.1184680086509469,1.0575764788661608
XGBoostRegressor,RandomForestRegressor,voting,1.130786219097034,1.0633843233267237
XGBoostRegressor,SVR,voting,1.1322952060883928,1.0640936077659675
XGBoostRegressor,,plain,1.2354801457736027,1.1115215453483585
XGBoostRegressor,GradientBoostingRegressor,cascade,1.2794801926551669,1.1311411020094562
XGBoostRegressor,SVR,cascade,1.2817046296239587,1.1321239462284856
XGBoostRegressor,RandomForestRegressor,cascade,1.289948513019231,1.1357590030544469
