dataset,model,2nd_model,type,mse,rmse
traffic,SVR,XGBoostRegressor,cascade,15.645291275218751,3.9554129083091634
energy,RandomForestRegressor,XGBoostRegressor,voting,151357.32939087792,389.04669307279545
power,GradientBoostingRegressor,RandomForestRegressor,cascade,52489.692798430384,229.10629148591792
parking,XGBoostRegressor,GradientBoostingRegressor,voting,228900.6846298483,478.43566404465327
room,RandomForestRegressor,GradientBoostingRegressor,voting,6.2755011736253605,2.5050950428327785
solar,XGBoostRegressor,RandomForestRegressor,voting,54011.76665373276,232.40431720115004
kolkata,XGBoostRegressor,RandomForestRegressor,voting,0.2384616419643909,0.4883253443805584
turbine,SVR,GradientBoostingRegressor,cascade,92188.7604597672,303.6260207224789
joho,RandomForestRegressor,XGBoostRegressor,voting,1484675.288642231,1218.4725227276283
iot,XGBoostRegressor,GradientBoostingRegressor,cascade,1.3847849199131932,1.1767688472734112
